epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,19,7010,368.947368421,1.19339295254
2,14,8580,612.857142857,2.26140272911
3,15,10990,732.666666667,3.12763523713
4,16,11400,712.5,4.0089207759
5,13,10470,805.384615385,5.00807360978
6,14,11580,827.142857143,5.25376717015
7,11,10790,980.909090909,5.14787445542
8,14,10910,779.285714286,5.28111861766
9,13,10650,819.230769231,5.35647239181
10,12,14940,1245.0,5.04346628651
11,12,16450,1370.83333333,4.96123259855
12,14,13170,940.714285714,4.92395735178
13,12,14560,1213.33333333,4.91558591629
14,11,17600,1600.0,4.76078892512
15,13,17070,1313.07692308,4.96355695608
16,12,14990,1249.16666667,4.86648808699
17,13,16280,1252.30769231,4.96013948875
18,15,17870,1191.33333333,4.66333272801
19,13,14600,1123.07692308,4.73881782529
20,14,19510,1393.57142857,5.01338476774
21,15,20140,1342.66666667,5.07860556944
22,12,16190,1349.16666667,4.81033862669
23,13,13890,1068.46153846,5.04752253525
24,13,17660,1358.46153846,4.88670176626
25,13,20460,1573.84615385,5.05977604721
26,14,17540,1252.85714286,5.06439516074
27,12,16350,1362.5,5.12435630179
28,11,15260,1387.27272727,5.08071706194
29,12,17770,1480.83333333,5.00760707929
30,13,21610,1662.30769231,4.98727763191
31,14,19590,1399.28571429,5.05885013403
32,13,16820,1293.84615385,4.97121328246
33,13,19270,1482.30769231,4.8865116987
34,13,14640,1126.15384615,5.06390687436
35,12,20140,1678.33333333,5.00635406697
36,12,18430,1535.83333333,4.8795118274
37,13,18970,1459.23076923,5.12434520695
38,13,19490,1499.23076923,5.03318673894
39,12,17590,1465.83333333,4.93758207547
40,13,17780,1367.69230769,4.86202942545
41,13,18270,1405.38461538,4.89187373932
42,12,22210,1850.83333333,4.7133676327
43,12,16390,1365.83333333,4.70965283545
44,12,18690,1557.5,4.87935339753
45,14,20460,1461.42857143,4.91875773635
46,14,18660,1332.85714286,4.62925305499
47,12,16880,1406.66666667,4.73092777668
48,14,18770,1340.71428571,4.78774254566
49,12,20770,1730.83333333,4.60029888738
50,13,22650,1742.30769231,4.63400089268
51,13,20040,1541.53846154,4.74530750303
52,13,19330,1486.92307692,4.69189810043
53,13,18880,1452.30769231,4.74595047409
54,12,19710,1642.5,4.74971608577
55,12,19300,1608.33333333,4.63182443259
56,11,21700,1972.72727273,4.691732224
57,12,22170,1847.5,4.46772866542
58,12,20370,1697.5,4.57919004999
59,12,21660,1805.0,4.69964792805
60,13,20630,1586.92307692,4.75282983741
61,15,20470,1364.66666667,4.59808335798
62,12,18130,1510.83333333,4.7675266128
63,12,15610,1300.83333333,4.67298946105
64,12,18080,1506.66666667,4.71073771657
65,13,19170,1474.61538462,4.90835532822
66,10,24070,2407.0,4.76493268792
67,11,20350,1850.0,4.68439921821
68,12,18720,1560.0,4.77308284631
69,12,19490,1624.16666667,4.72198869551
70,11,22390,2035.45454545,4.75580005748
71,12,19900,1658.33333333,4.69429160057
72,11,22380,2034.54545455,4.72093429629
73,13,20960,1612.30769231,4.88878151851
74,13,20570,1582.30769231,4.8573521658
75,11,19880,1807.27272727,4.8383194452
76,12,17640,1470.0,4.69958585644
77,12,19950,1662.5,4.90021768607
78,11,20750,1886.36363636,4.73175323062
79,11,19250,1750.0,4.77782799503
80,11,22490,2044.54545455,4.71468045032
81,10,19330,1933.0,4.63666849101
82,9,21620,2402.22222222,4.71544062179
83,11,17820,1620.0,4.75295554077
84,11,16720,1520.0,4.85571985746
85,11,26040,2367.27272727,4.78313426681
86,11,18170,1651.81818182,4.60099425228
87,10,24740,2474.0,4.56425171632
88,10,21750,2175.0,4.60152235705
89,10,19110,1911.0,4.52456880527
90,11,22370,2033.63636364,4.69391199209
91,10,16190,1619.0,4.61742033869
92,12,17270,1439.16666667,4.6479890883
93,9,18540,2060.0,4.80866387939
94,12,23990,1999.16666667,4.71478208054
95,11,21030,1911.81818182,4.78120751683
96,10,19240,1924.0,4.66321380442
97,11,21780,1980.0,4.5538061451
98,11,21010,1910.0,4.59001440842
99,11,20750,1886.36363636,4.57313263442
100,11,24560,2232.72727273,4.67303957559
