epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,25,600,24.0,0.365004240763
2,8,3120,390.0,0.719462145369
3,5,2980,596.0,1.13971572506
4,9,3240,360.0,1.19375795306
5,8,2440,305.0,1.30168777084
6,9,3060,340.0,1.33874928269
7,9,3540,393.333333333,1.38385961264
8,11,3300,300.0,1.46952802418
9,9,3780,420.0,1.47849232417
10,11,3780,343.636363636,1.46349603467
11,10,3860,386.0,1.44965057802
12,8,3540,442.5,1.44164578464
13,8,3760,470.0,1.43128437268
14,10,4320,432.0,1.40587960824
15,9,3920,435.555555556,1.33148582181
16,10,4200,420.0,1.34601867107
17,10,4120,412.0,1.25517518171
18,7,4840,691.428571429,1.29218972936
19,9,5240,582.222222222,1.30199860959
20,8,4500,562.5,1.31168781322
21,10,3980,398.0,1.27902927852
22,10,4720,472.0,1.27525533518
23,9,5420,602.222222222,1.22292502948
24,8,4660,582.5,1.21672568518
25,8,6520,815.0,1.21486821271
26,11,5400,490.909090909,1.20063697701
27,10,5120,512.0,1.15405684294
28,9,6500,722.222222222,1.26210039829
29,8,5520,690.0,1.2493104234
30,11,5100,463.636363636,1.19707697791
31,10,5800,580.0,1.20985636096
32,7,6620,945.714285714,1.20107905963
33,11,5360,487.272727273,1.18681289229
34,9,6760,751.111111111,1.23460880764
35,9,7080,786.666666667,1.2084081174
36,7,6580,940.0,1.22134428355
37,11,5520,501.818181818,1.25770262052
38,8,5840,730.0,1.16165197237
39,9,6820,757.777777778,1.20006980879
40,9,6040,671.111111111,1.19848744391
41,10,5860,586.0,1.23933127142
42,7,7000,1000.0,1.241042892
43,8,6640,830.0,1.25395378237
44,8,6260,782.5,1.25006366404
45,7,7660,1094.28571429,1.1605469078
46,7,6900,985.714285714,1.17749730792
47,7,7820,1117.14285714,1.25872896278
48,8,6360,795.0,1.28067966869
49,8,7180,897.5,1.29454213328
50,9,6780,753.333333333,1.31291766583
51,8,6520,815.0,1.20376630472
52,6,7200,1200.0,1.16617936607
53,9,7060,784.444444444,1.15484649991
54,7,7860,1122.85714286,1.1935037428
55,7,9100,1300.0,1.21742201993
56,8,7800,975.0,1.21683638426
57,7,7520,1074.28571429,1.23733714123
58,7,8480,1211.42857143,1.19987899121
59,7,7280,1040.0,1.22151221842
60,7,7040,1005.71428571,1.22104741423
61,8,8720,1090.0,1.20659997678
62,9,7780,864.444444444,1.27196813075
63,7,8620,1231.42857143,1.20583991786
64,8,7280,910.0,1.30715047783
65,6,7380,1230.0,1.27103487112
66,8,8060,1007.5,1.26282931929
67,9,6860,762.222222222,1.2049254331
68,7,8600,1228.57142857,1.27221154832
69,6,7660,1276.66666667,1.31052991636
70,8,8060,1007.5,1.3018923181
71,7,8420,1202.85714286,1.25372112039
72,6,6920,1153.33333333,1.22687522239
73,7,9620,1374.28571429,1.21349637775
74,5,9260,1852.0,1.32555850773
75,7,8580,1225.71428571,1.27262578459
76,5,9940,1988.0,1.30385601971
77,8,8360,1045.0,1.27216251791
78,7,8420,1202.85714286,1.2743734114
79,8,8600,1075.0,1.33154825903
80,5,9140,1828.0,1.30265379918
81,8,8680,1085.0,1.34817992785
82,6,8340,1390.0,1.31111679384
83,6,9060,1510.0,1.31010238621
84,7,9700,1385.71428571,1.29734858378
85,9,9700,1077.77777778,1.30851495827
86,6,9040,1506.66666667,1.338661738
87,6,10400,1733.33333333,1.29645898148
88,9,6960,773.333333333,1.33031383803
89,6,9760,1626.66666667,1.2601698783
90,10,8140,814.0,1.22945364907
91,7,9740,1391.42857143,1.2910076174
92,5,10140,2028.0,1.27378483951
93,8,9540,1192.5,1.30027801914
94,7,9740,1391.42857143,1.27890072715
95,8,9820,1227.5,1.27349473336
96,6,9740,1623.33333333,1.28579952142
97,6,9060,1510.0,1.27302803857
98,6,9180,1530.0,1.27792939843
99,5,10880,2176.0,1.28370956896
100,5,9600,1920.0,1.25196350491
