epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,6,580,96.6666666667,0.199346692464
2,12,2000,166.666666667,0.245280543407
3,9,2600,288.888888889,0.422122801044
4,13,1820,140.0,0.585647305511
5,10,2520,252.0,0.680998264048
6,6,2860,476.666666667,0.7900428873
7,8,3020,377.5,0.898753127304
8,11,2880,261.818181818,0.989320845006
9,10,3380,338.0,1.02489920178
10,6,2980,496.666666667,1.14441830951
11,8,3060,382.5,1.20382936307
12,11,3080,280.0,1.27443175324
13,10,3600,360.0,1.30297463239
14,8,3640,455.0,1.31127165224
15,11,3720,338.181818182,1.34902977769
16,9,3920,435.555555556,1.34407585319
17,10,4380,438.0,1.33929006125
18,10,4740,474.0,1.33506155593
19,8,4300,537.5,1.32754727462
20,9,4460,495.555555556,1.30633142381
21,8,5020,627.5,1.29279631182
22,6,5080,846.666666667,1.23779792279
23,7,5720,817.142857143,1.23446915953
24,9,5540,615.555555556,1.21298196719
25,7,5980,854.285714286,1.22751523078
26,12,5480,456.666666667,1.21851828448
27,9,6160,684.444444444,1.20288926392
28,7,5220,745.714285714,1.15886211672
29,8,6140,767.5,1.1307529953
30,7,6320,902.857142857,1.1290816679
31,10,5200,520.0,1.14385538565
32,8,5300,662.5,1.11258590875
33,9,6820,757.777777778,1.13021577219
34,10,6660,666.0,1.13938433476
35,9,6140,682.222222222,1.12779257265
36,9,5960,662.222222222,1.05850086228
37,8,6420,802.5,1.03774629883
38,7,7580,1082.85714286,1.06200137235
39,10,5560,556.0,1.00235642324
40,9,7020,780.0,1.0016361484
41,7,8680,1240.0,0.987725118315
42,5,7620,1524.0,1.00214265462
43,7,8500,1214.28571429,1.01930275842
44,5,7440,1488.0,1.03681339266
45,9,7580,842.222222222,1.06448064777
46,7,9360,1337.14285714,1.0544216606
47,9,7900,877.777777778,1.06356995855
48,9,7520,835.555555556,1.07649142715
49,5,8420,1684.0,1.06419713511
50,9,7060,784.444444444,1.07003697529
51,7,6440,920.0,1.06498073266
52,9,7620,846.666666667,1.08607828571
53,7,9280,1325.71428571,1.07128865723
54,7,8640,1234.28571429,1.08750892034
55,6,9260,1543.33333333,1.05033548438
56,7,8600,1228.57142857,1.0581226163
57,8,7040,880.0,1.09158341616
58,8,9080,1135.0,1.0946482069
59,6,8220,1370.0,1.06633309403
60,9,7700,855.555555556,1.06037767101
61,7,8180,1168.57142857,1.05078308321
62,9,8380,931.111111111,1.04909291385
63,8,9120,1140.0,1.05971590525
64,6,8780,1463.33333333,1.05229368575
65,7,7020,1002.85714286,1.05470953719
66,8,8340,1042.5,1.04873264297
67,7,9460,1351.42857143,1.06835246867
68,8,8920,1115.0,1.04110164306
69,7,8840,1262.85714286,1.01686839702
70,7,7720,1102.85714286,1.00321829289
71,6,9500,1583.33333333,1.03037049303
72,5,8360,1672.0,1.0218073473
73,7,8760,1251.42857143,1.02079073833
74,7,8260,1180.0,1.0182150176
75,8,7840,980.0,1.01436805898
76,8,8860,1107.5,1.01620466419
77,5,9080,1816.0,1.03090514858
78,6,8820,1470.0,1.01533243435
79,7,7900,1128.57142857,1.07274942136
80,11,7800,709.090909091,1.06360005522
81,6,9480,1580.0,1.03878382306
82,9,8700,966.666666667,1.0495973565
83,10,8240,824.0,1.08668085892
84,6,9280,1546.66666667,1.09909841319
85,6,9380,1563.33333333,1.11494275526
86,12,6260,521.666666667,1.10926529736
87,7,10060,1437.14285714,1.08706786669
88,5,8140,1628.0,1.10269332478
89,7,8880,1268.57142857,1.12874319732
90,7,9670,1381.42857143,1.10727387216
91,7,9820,1402.85714286,1.12439889802
92,6,8960,1493.33333333,1.134511995
93,7,9720,1388.57142857,1.15004509659
94,6,10140,1690.0,1.12855612829
95,7,7780,1111.42857143,1.12750846983
96,9,9080,1008.88888889,1.09321679299
97,6,10260,1710.0,1.08925914248
98,6,9220,1536.66666667,1.08732578397
99,7,9580,1368.57142857,1.05980309159
100,7,8080,1154.28571429,1.08244308217
