epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,5,180,36.0,0.756485356223
2,6,240,40.0,0.65475451841
3,1,0,0.0,0.543718088344
4,13,2080,160.0,0.607667593283
5,13,2120,163.076923077,0.727704862906
6,16,1540,96.25,0.720340926405
7,14,1020,72.8571428571,0.746604110538
8,15,1580,105.333333333,0.724155461621
9,12,2240,186.666666667,0.731732330559
10,21,1520,72.380952381,0.725043297067
11,14,1740,124.285714286,0.679589005224
12,14,1900,135.714285714,0.818332940445
13,11,1740,158.181818182,0.855474300871
14,13,2300,176.923076923,0.779450277507
15,15,1680,112.0,0.892833418825
16,8,3160,395.0,0.812763804038
17,15,1680,112.0,0.727620381421
18,8,2720,340.0,0.753339133319
19,10,2060,206.0,0.788183081583
20,9,3140,348.888888889,0.882958249392
21,10,1600,160.0,0.809873283983
22,6,2960,493.333333333,0.775249710463
23,7,3280,468.571428571,0.812135494261
24,14,2060,147.142857143,0.79790187843
25,8,1240,155.0,0.831529447694
26,16,1840,115.0,0.830535489486
27,8,2940,367.5,0.898455316204
28,13,1840,141.538461538,0.861064818109
29,9,2820,313.333333333,0.800599431607
30,7,2640,377.142857143,0.732781204457
31,8,2720,340.0,0.766852306948
32,11,1960,178.181818182,0.909593979644
33,11,3180,289.090909091,0.839614080188
34,5,2420,484.0,0.776795646453
35,6,2600,433.333333333,0.865019263362
36,6,2980,496.666666667,0.84244878354
37,8,2680,335.0,0.876221409519
38,7,3040,434.285714286,0.817944831554
39,11,2060,187.272727273,0.868691995593
40,9,3080,342.222222222,0.832779948749
41,8,2740,342.5,0.827183006604
42,9,2640,293.333333333,0.860666288584
43,7,3160,451.428571429,0.898638265049
44,8,3260,407.5,0.827720271548
45,6,3380,563.333333333,0.88770455046
