epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,12,1240,103.333333333,0.406069593928
2,7,2980,425.714285714,0.796155696372
3,11,2680,243.636363636,1.16604664549
4,6,3100,516.666666667,1.31164235235
5,10,2480,248.0,1.2745246273
6,7,2500,357.142857143,1.26352316906
7,11,2920,265.454545455,1.26001617205
8,8,3200,400.0,1.17412182186
9,10,3380,338.0,1.18025921478
10,7,2940,420.0,1.21924032075
11,11,3840,349.090909091,1.19375940014
12,12,3360,280.0,1.15732079409
13,8,4680,585.0,1.11100985578
14,10,3360,336.0,1.08790686696
15,8,4440,555.0,1.09954748712
16,7,4400,628.571428571,1.08691260904
17,8,4920,615.0,1.12622024836
18,9,5440,604.444444444,1.05036498753
19,6,5580,930.0,1.10538659433
20,10,4680,468.0,1.08460941138
21,7,5360,765.714285714,1.08547838366
22,6,5660,943.333333333,1.05148480537
23,12,5140,428.333333333,1.11483187346
24,8,5680,710.0,1.10490270998
25,9,6320,702.222222222,1.14354968176
26,10,4320,432.0,1.05328447153
27,12,5640,470.0,1.031168149
28,6,6460,1076.66666667,1.05939453035
29,8,6180,772.5,1.08347849932
30,12,5360,446.666666667,1.11527679255
31,9,6020,668.888888889,1.10896546349
32,9,5800,644.444444444,1.08870421931
33,6,6940,1156.66666667,1.06409919212
34,6,6620,1103.33333333,1.11222143545
35,8,7880,985.0,1.10447177903
36,5,7260,1452.0,1.08171728864
37,8,7240,905.0,1.05739888136
38,5,8420,1684.0,1.02288027757
39,9,7660,851.111111111,1.05053201115
40,7,7940,1134.28571429,1.02932776263
41,6,7840,1306.66666667,1.052722867
42,6,8140,1356.66666667,1.08185169059
43,9,8300,922.222222222,1.09206254483
44,7,6480,925.714285714,1.09114776674
45,5,8180,1636.0,1.09333457819
46,11,6060,550.909090909,1.1146254222
47,6,7020,1170.0,1.12019910533
48,4,7940,1985.0,1.10652407729
49,5,8760,1752.0,1.09664493304
50,6,8320,1386.66666667,1.08070408138
51,10,6000,600.0,1.11890927669
52,5,9260,1852.0,1.10880556889
53,6,8000,1333.33333333,1.06936483311
54,6,8480,1413.33333333,1.02397579407
55,7,8820,1260.0,1.04302842506
56,4,9080,2270.0,1.07489918629
57,5,7920,1584.0,1.09657267405
58,8,7240,905.0,1.09080969088
59,6,9080,1513.33333333,1.12516594697
60,5,8980,1796.0,1.12091657146
61,6,9240,1540.0,1.08876643199
62,6,9540,1590.0,1.1372927991
63,8,7840,980.0,1.06117523924
64,6,8560,1426.66666667,1.10291610203
65,6,8800,1466.66666667,1.14430404172
66,5,9340,1868.0,1.13013741015
67,6,9980,1663.33333333,1.07346895919
68,5,8520,1704.0,1.05817114054
69,5,8500,1700.0,1.08532384703
70,6,9700,1616.66666667,1.09601250802
71,5,10080,2016.0,1.08151247142
72,5,9820,1964.0,1.08806474552
73,5,10040,2008.0,1.0758795042
74,5,7920,1584.0,1.09776669501
75,6,8860,1476.66666667,1.05360771758
76,4,9100,2275.0,1.03735831359
77,5,9980,1996.0,1.02279687738
78,5,8760,1752.0,1.06126014621
79,5,9200,1840.0,1.03361470283
80,6,8440,1406.66666667,1.05666507541
81,5,10140,2028.0,1.0865656627
82,5,8360,1672.0,1.09064088084
83,4,9000,2250.0,1.08322145822
84,5,10160,2032.0,1.08287720962
85,11,5920,538.181818182,1.05704441246
86,5,9820,1964.0,1.06509362509
87,5,10280,2056.0,1.07320223007
88,6,8400,1400.0,1.0974822339
89,6,8360,1393.33333333,1.07781677847
90,7,8840,1262.85714286,1.07642219543
91,7,9220,1317.14285714,1.10171962779
92,5,9480,1896.0,1.06609596435
93,6,10000,1666.66666667,1.07941652481
94,5,9800,1960.0,1.04913812632
95,4,8760,2190.0,1.09911748934
96,4,9560,2390.0,1.09314266165
97,5,9580,1916.0,1.06280784532
98,5,10660,2132.0,1.02831814526
99,6,9320,1553.33333333,1.07546325778
100,5,9240,1848.0,1.06461275935
