epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,16,1395,87.1875,0.481934853299
2,16,2155,134.6875,0.633644021754
3,16,2510,156.875,0.880515893847
4,14,3940,281.428571429,0.960137881986
5,16,4055,253.4375,1.11562467746
6,15,4545,303.0,1.27634578297
7,13,5350,411.538461538,1.263218404
8,16,4175,260.9375,1.30253677632
9,17,5210,306.470588235,1.25507754333
10,16,3710,231.875,1.30379297767
11,15,4980,332.0,1.40365940458
12,18,3750,208.333333333,1.32718603582
13,18,4020,223.333333333,1.45414040232
14,14,4705,336.071428571,1.3951569405
15,18,4455,247.5,1.31136409551
16,15,5055,337.0,1.34603907814
17,15,5450,363.333333333,1.35241738417
18,18,4490,249.444444444,1.37004089482
19,16,4355,272.1875,1.33969287104
20,14,5135,366.785714286,1.38341302217
21,14,4780,341.428571429,1.29411830043
22,13,6125,471.153846154,1.29500567352
23,19,4405,231.842105263,1.36852644154
24,16,5455,340.9375,1.37531627395
25,12,5095,424.583333333,1.33953336115
26,16,4905,306.5625,1.30624296702
27,16,4820,301.25,1.33334512506
28,16,4545,284.0625,1.3651805188
29,18,5635,313.055555556,1.4198373341
30,16,5525,345.3125,1.32810126185
31,17,5250,308.823529412,1.30463173759
32,15,5845,389.666666667,1.3669343441
33,14,4785,341.785714286,1.28307407185
34,16,4355,272.1875,1.37903990082
35,18,3310,183.888888889,1.40130240827
36,15,5750,383.333333333,1.40886935977
37,15,5440,362.666666667,1.35436368263
38,15,5500,366.666666667,1.33832197106
39,16,4740,296.25,1.3578204169
40,16,5265,329.0625,1.35398061316
41,16,5525,345.3125,1.35338263918
42,17,4050,238.235294118,1.29131105161
43,17,4845,285.0,1.29533774227
44,16,5590,349.375,1.20671139664
45,13,4940,380.0,1.22992459233
46,17,4295,252.647058824,1.19095302156
47,16,5305,331.5625,1.30240789735
48,16,5585,349.0625,1.21220828327
49,16,4885,305.3125,1.17286090506
50,18,5620,312.222222222,1.22484698265
51,17,4905,288.529411765,1.21220682492
52,15,4530,302.0,1.18141614236
53,17,2615,153.823529412,1.19171071516
54,17,5275,310.294117647,1.23905954106
55,15,5085,339.0,1.16861279574
56,13,5280,406.153846154,1.18575425683
57,20,4550,227.5,1.09845338218
58,15,4460,297.333333333,1.12998816116
59,16,3710,231.875,1.1087108247
60,18,4880,271.111111111,1.10338155122
61,15,5330,355.333333333,1.1400476746
62,14,5020,358.571428571,1.13778330855
63,17,4730,278.235294118,1.10211110277
64,15,5835,389.0,1.10577478073
65,16,3990,249.375,1.13533446886
66,15,5405,360.333333333,1.14757987356
67,14,5105,364.642857143,1.17160105724
68,17,4475,263.235294118,1.1934539268
69,18,4955,275.277777778,1.19880881178
70,19,4120,216.842105263,1.1482782322
71,17,5555,326.764705882,1.15525454299
72,16,5480,342.5,1.18908222797
73,15,4645,309.666666667,1.1268574224
74,15,5130,342.0,1.0805250302
75,15,4645,309.666666667,1.13484006117
76,16,4590,286.875,1.15138933169
77,14,4735,338.214285714,1.15867205815
78,19,5135,270.263157895,1.19716553559
79,13,4600,353.846153846,1.19680616453
80,15,4830,322.0,1.14130496428
81,16,5455,340.9375,1.18739487874
82,19,5000,263.157894737,1.24921760281
83,14,5005,357.5,1.24345506494
84,19,4500,236.842105263,1.2481779939
85,15,4795,319.666666667,1.23993714258
86,15,5750,383.333333333,1.29648595426
87,18,3950,219.444444444,1.30729913731
88,16,5890,368.125,1.31914588436
89,15,4535,302.333333333,1.29481424428
90,15,5385,359.0,1.20250527062
91,17,4505,265.0,1.15436415314
92,13,5775,444.230769231,1.24389432708
93,15,5110,340.666666667,1.26228682138
94,15,4930,328.666666667,1.26050741542
95,18,3980,221.111111111,1.26678320834
96,15,5275,351.666666667,1.22092681639
97,16,4710,294.375,1.2312199022
98,22,5100,231.818181818,1.2411038552
99,13,4575,351.923076923,1.24850501973
100,16,4875,304.6875,1.27861015878
