epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,215,40540,188.558139535,1.18257975806
2,230,29445,128.02173913,1.95471304926
3,201,27625,137.437810945,2.39660780294
4,200,27380,136.9,2.80021925486
5,224,12255,54.7098214286,3.1226350769
6,173,37495,216.734104046,3.14636953512
7,160,25835,161.46875,3.24845303727
8,166,55580,334.819277108,3.36898816174
9,135,54510,403.777777778,3.64350076169
10,148,74840,505.675675676,4.07956406424
11,145,66130,456.068965517,4.47747315211
12,185,24020,129.837837838,4.8674253008
13,141,56680,401.985815603,5.42995731832
14,147,74970,510.0,5.5966119714
15,150,79490,529.933333333,6.00110908702
16,140,78810,562.928571429,6.1775306078
17,159,37355,234.937106918,6.4814003892
18,140,75435,538.821428571,6.40678173638
19,143,77135,539.405594406,6.48403380272
20,159,60450,380.188679245,6.64880767965
21,133,69345,521.390977444,6.76219648608
22,155,77900,502.580645161,7.00752098083
23,143,82700,578.321678322,7.04070569202
