epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,16,3030,189.375,0.481732854108
2,14,3095,221.071428571,0.647657206981
3,14,3990,285.0,0.877115538411
4,15,3245,216.333333333,0.909816176486
5,13,3905,300.384615385,1.01549457019
6,15,4480,298.666666667,1.28570757005
7,13,4735,364.230769231,1.27060618235
8,16,4295,268.4375,1.28790277875
9,17,4095,240.882352941,1.29281060692
10,18,3775,209.722222222,1.27505287432
11,18,4885,271.388888889,1.20233587428
12,18,2965,164.722222222,1.35477135504
13,15,5415,361.0,1.35175038529
14,18,4375,243.055555556,1.28564292979
15,16,4515,282.1875,1.40250685394
16,15,4480,298.666666667,1.43783361988
17,15,4695,313.0,1.39749953505
18,17,4845,285.0,1.40189723694
19,18,4880,271.111111111,1.31025909495
20,17,5315,312.647058824,1.39399034554
21,15,5195,346.333333333,1.39895272086
22,18,4535,251.944444444,1.39125446206
23,17,4975,292.647058824,1.38753732186
24,16,4480,280.0,1.32540943442
25,16,4925,307.8125,1.27011566371
26,17,5645,332.058823529,1.33653430228
27,14,4965,354.642857143,1.40322643552
28,13,4645,357.307692308,1.49690602522
29,16,5200,325.0,1.33900833839
30,17,5210,306.470588235,1.40258980311
31,16,5665,354.0625,1.44807408678
32,13,5220,401.538461538,1.36326514346
33,17,4910,288.823529412,1.43046193799
34,14,4160,297.142857143,1.36213098558
35,17,4805,282.647058824,1.42855345865
36,15,4715,314.333333333,1.32780186224
37,14,4855,346.785714286,1.43882078735
38,16,5090,318.125,1.37207303123
39,16,5675,354.6875,1.34330632506
40,15,4885,325.666666667,1.29365002934
41,15,5600,373.333333333,1.30887077455
42,15,5200,346.666666667,1.35117769443
43,17,4480,263.529411765,1.3194781143
44,14,5255,375.357142857,1.25747441777
45,16,5015,313.4375,1.41162953232
46,16,3530,220.625,1.35118738436
47,14,5250,375.0,1.40235927174
48,18,4385,243.611111111,1.31230371992
49,20,4275,213.75,1.24129057438
50,16,4640,290.0,1.26436880321
51,15,5150,343.333333333,1.29368275916
52,13,5645,434.230769231,1.28215320151
53,15,5420,361.333333333,1.26950005511
54,17,4650,273.529411765,1.21559998588
55,16,5335,333.4375,1.29652759497
56,15,5165,344.333333333,1.30738862098
57,16,5010,313.125,1.25186525617
58,16,5395,337.1875,1.25679117725
59,16,5930,370.625,1.23846067345
60,15,5870,391.333333333,1.26088599267
61,16,5055,315.9375,1.23422392026
62,16,5485,342.8125,1.28847963457
63,13,6140,472.307692308,1.23776506886
64,15,5775,385.0,1.31226089841
65,20,4590,229.5,1.30175180835
66,16,5025,314.0625,1.33482974121
67,17,5225,307.352941176,1.328832304
68,17,5835,343.235294118,1.26618469217
69,15,5280,352.0,1.29318323501
70,15,5130,342.0,1.27029140966
71,17,4895,287.941176471,1.27542746319
72,16,5650,353.125,1.29437101679
73,15,5690,379.333333333,1.29307226474
74,17,6000,352.941176471,1.29663710796
75,16,5195,324.6875,1.29760235099
76,12,4470,372.5,1.3343566704
77,17,6085,357.941176471,1.23107487038
78,14,6985,498.928571429,1.27084884023
79,19,4600,242.105263158,1.34920882032
80,18,4620,256.666666667,1.33294222182
81,15,5485,365.666666667,1.27257258866
82,18,5640,313.333333333,1.29346307303
83,14,4480,320.0,1.34730523853
84,17,5890,346.470588235,1.29174356498
85,13,4555,350.384615385,1.29852373151
86,14,4785,341.785714286,1.34016633919
87,18,6340,352.222222222,1.26094035451
88,19,5695,299.736842105,1.29327217433
89,15,4180,278.666666667,1.32506155918
90,16,5300,331.25,1.30074942775
91,16,5720,357.5,1.32881008601
92,16,5030,314.375,1.29457504703
93,15,5600,373.333333333,1.26002737171
94,15,5315,354.333333333,1.1810279422
95,18,6595,366.388888889,1.15821641656
96,18,6150,341.666666667,1.17917833535
97,18,6335,351.944444444,1.22617018605
98,15,5105,340.333333333,1.20090268979
99,16,5460,341.25,1.21516327837
100,16,5695,355.9375,1.22103666005
