epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,14,2145,153.214285714,0.543726098364
2,17,1865,109.705882353,0.719641594392
3,18,3560,197.777777778,0.911376183312
4,13,4345,334.230769231,0.9981502894
5,16,4055,253.4375,1.11161241644
6,13,4990,383.846153846,1.20448138943
7,17,4455,262.058823529,1.30545629088
8,17,4505,265.0,1.29648135656
9,15,4695,313.0,1.33905703419
10,16,3935,245.9375,1.25879084022
11,14,4650,332.142857143,1.26479686445
12,18,3610,200.555555556,1.36476812463
13,19,4420,232.631578947,1.32484468231
14,22,4605,209.318181818,1.36693898477
15,17,3960,232.941176471,1.37653573792
16,18,4290,238.333333333,1.42803126863
17,17,5000,294.117647059,1.44414838424
18,17,4560,268.235294118,1.38537151654
19,15,4595,306.333333333,1.41845425724
20,21,4985,237.380952381,1.33794165184
21,26,3855,148.269230769,1.41235611788
22,16,5570,348.125,1.42963645605
23,16,4180,261.25,1.42769645302
24,16,5445,340.3125,1.40838051218
25,15,5290,352.666666667,1.42023192371
26,16,5700,356.25,1.41862230192
27,16,6185,386.5625,1.3954799185
28,14,4480,320.0,1.52591051778
29,17,4815,283.235294118,1.55596586344
30,17,5350,314.705882353,1.37826051394
31,15,5485,365.666666667,1.44431163711
32,16,4925,307.8125,1.39354282326
33,16,4860,303.75,1.46924352124
34,15,4525,301.666666667,1.42057789805
35,17,5445,320.294117647,1.40357285847
36,16,5885,367.8125,1.40291002531
37,17,5365,315.588235294,1.4255297049
38,17,5015,295.0,1.34113857192
39,15,4385,292.333333333,1.27670983988
40,15,5870,391.333333333,1.32449954213
41,15,4800,320.0,1.34320401075
42,15,4995,333.0,1.37178818275
43,16,5645,352.8125,1.33824325341
44,17,4590,270.0,1.35492106552
45,16,6445,402.8125,1.32043921944
46,13,5905,454.230769231,1.41685925618
47,16,5590,349.375,1.30981314581
48,19,5840,307.368421053,1.28875566408
49,17,5435,319.705882353,1.30583902145
50,14,6070,433.571428571,1.32357575434
51,18,5720,317.777777778,1.25464981502
52,17,4990,293.529411765,1.32193316063
53,15,5475,365.0,1.30215570861
54,20,4695,234.75,1.19017076195
55,15,6200,413.333333333,1.19549953246
56,17,5330,313.529411765,1.26246571388
57,16,5475,342.1875,1.26247271135
58,15,5135,342.333333333,1.32983011868
59,16,5750,359.375,1.30471235176
60,16,5530,345.625,1.32035325964
61,17,3820,224.705882353,1.26547814905
62,16,5245,327.8125,1.35107006013
63,17,5610,330.0,1.32258243416
64,16,5080,317.5,1.29575737791
65,15,5270,351.333333333,1.33345200442
66,15,5505,367.0,1.25824197207
67,17,5465,321.470588235,1.18073229215
68,16,5785,361.5625,1.24058283185
69,18,4820,267.777777778,1.26765608015
70,19,5300,278.947368421,1.20224373717
71,15,5210,347.333333333,1.15958170265
72,17,5220,307.058823529,1.19876501667
73,14,4640,331.428571429,1.2351491313
74,16,5015,313.4375,1.23447040845
75,17,5130,301.764705882,1.21442967516
76,14,5665,404.642857143,1.19793711127
77,15,6280,418.666666667,1.16349291344
78,15,5890,392.666666667,1.15958892535
79,16,4675,292.1875,1.16511363949
80,18,5325,295.833333333,1.18319182652
81,16,6070,379.375,1.16116899971
82,15,5175,345.0,1.15596299886
83,17,5330,313.529411765,1.18791212953
84,16,5085,317.8125,1.25206323281
85,15,4985,332.333333333,1.19010644868
86,16,4745,296.5625,1.20633703868
87,16,5450,340.625,1.23544249791
88,17,5315,312.647058824,1.17474304086
89,16,5300,331.25,1.19848492938
90,15,5405,360.333333333,1.23009524324
91,19,4975,261.842105263,1.25954593836
92,15,5585,372.333333333,1.26032735864
93,15,5510,367.333333333,1.22371604676
94,16,5830,364.375,1.27882641677
95,16,4930,308.125,1.23276514943
96,18,4380,243.333333333,1.21967287765
97,15,5650,376.666666667,1.17928647657
98,17,3630,213.529411765,1.22133717645
99,18,5355,297.5,1.23892974178
100,16,5545,346.5625,1.18158866476
