epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,4,0,0.0,0.0901942152608
2,4,0,0.0,0.0721673712877
3,4,0,0.0,0.0580449557088
4,4,0,0.0,0.0469736691511
5,4,4,1.0,0.0382481843793
6,4,0,0.0,0.0313954218136
7,4,0,0.0,0.0259421710863
8,4,0,0.0,0.0218172664274
9,4,0,0.0,0.018394620951
10,4,0,0.0,0.0157170134348
11,4,0,0.0,0.0133998000195
12,4,2,0.5,0.0116034614101
13,4,0,0.0,0.0102156579026
14,4,0,0.0,0.00910797224366
15,4,0,0.0,0.00816899607177
16,4,1,0.25,0.00732373964262
17,4,0,0.0,0.00662196021405
18,4,2,0.5,0.00609152101693
19,4,32,8.0,0.00558324346568
20,4,0,0.0,0.0051950306513
21,4,18,4.5,0.0249639297339
22,4,0,0.0,0.0201614971996
23,4,2,0.5,0.016338388669
24,4,0,0.0,0.0155324779485
25,4,1,0.25,0.0126042899225
26,4,2,0.5,0.0103776304447
27,4,0,0.0,0.00853230012961
28,4,1,0.25,0.0214058039277
29,4,0,0.0,0.019795795401
30,4,1,0.25,0.0204765845562
31,4,1,0.25,0.0305428840014
32,4,88,22.0,0.0264481048937
33,4,92,23.0,0.0608253188258
34,4,88,22.0,0.0992756236702
35,4,94,23.5,0.124644432844
36,4,83,20.75,0.182650814423
37,4,90,22.5,0.240508150081
38,4,74,18.5,0.296614569875
39,4,49,12.25,0.412130686665
40,4,0,0.0,0.55657451451
41,4,36,9.0,0.602455900376
42,4,48,12.0,0.621984088669
43,4,47,11.75,0.613141008525
44,4,48,12.0,0.675469287322
45,4,74,18.5,0.721799654032
46,4,81,20.25,0.803639918004
47,4,81,20.25,0.870860401098
48,4,74,18.5,0.929492802386
49,4,88,22.0,0.975355306892
50,4,83,20.75,0.984221603587
51,4,85,21.25,0.967711873041
52,4,90,22.5,1.03273069624
53,4,79,19.75,1.01867645281
54,4,87,21.75,1.0025543945
55,4,84,21.0,1.0061854794
56,4,91,22.75,0.964232984802
57,4,91,22.75,1.03544305257
58,4,91,22.75,1.08067000248
59,4,92,23.0,1.02924258556
60,4,100,25.0,1.00566108371
61,4,99,24.75,0.98367254726
62,4,94,23.5,1.03730695649
63,4,98,24.5,1.09262722817
64,4,103,25.75,1.11579742662
65,4,104,26.0,1.10065992874
66,4,114,28.5,1.12398178073
67,4,109,27.25,1.14146844892
68,4,106,26.5,1.14463328883
69,4,106,26.5,1.19966584574
70,4,114,28.5,1.16572860123
71,4,104,26.0,1.14261802227
72,4,112,28.0,1.14872222063
73,4,113,28.25,1.19281773483
74,4,101,25.25,1.1805916555
75,4,118,29.5,1.1877439998
76,4,111,27.75,1.19812293893
77,4,111,27.75,1.25692043915
78,4,108,27.0,1.24881708838
79,4,116,29.0,1.23335164027
80,4,115,28.75,1.23084842463
81,4,118,29.5,1.2675466237
82,4,116,29.0,1.27223588607
83,4,116,29.0,1.24789312559
84,4,118,29.5,1.26598210488
85,4,123,30.75,1.27413224992
86,4,122,30.5,1.27812758653
87,4,120,30.0,1.28761548006
88,4,120,30.0,1.31151805659
89,4,123,30.75,1.28941500104
90,4,124,31.0,1.29411628856
91,4,115,28.75,1.28608089283
92,4,124,31.0,1.29419291018
93,4,123,30.75,1.29765686318
94,4,125,31.25,1.29358524481
95,4,123,30.75,1.33032930545
96,4,122,30.5,1.32600004979
97,4,121,30.25,1.30617709081
98,4,125,31.25,1.29074259152
99,4,121,30.25,1.29769174384
100,4,119,29.75,1.30233364068
