epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,27,7690,284.814814815,2.31392714124
2,15,8550,570.0,4.7499698872
3,15,9780,652.0,8.43022424095
4,13,11330,871.538461538,12.0733662982
5,13,12130,933.076923077,17.258454269
6,14,9700,692.857142857,24.9313250563
7,14,8990,642.142857143,31.1191833144
8,12,10920,910.0,43.0127430384
9,16,8560,535.0,52.5952836541
10,16,10460,653.75,65.395106258
11,13,13410,1031.53846154,79.5322947498
12,13,11030,848.461538462,90.4832492311
13,12,12070,1005.83333333,105.349242687
14,12,10910,909.166666667,119.982033985
15,14,11040,788.571428571,138.509413485
16,11,10030,911.818181818,138.18891597
17,14,11980,855.714285714,158.650428281
18,14,10190,727.857142857,167.933729869
19,14,8590,613.571428571,180.573652723
20,15,7090,472.666666667,174.936644364
21,14,9680,691.428571429,170.989417409
22,14,10410,743.571428571,163.486582106
23,13,9240,710.769230769,157.659619322
24,13,11630,894.615384615,160.1753904
25,12,12640,1053.33333333,161.277722083
26,16,8410,525.625,159.579385264
27,15,9710,647.333333333,147.194299137
28,22,7250,329.545454545,147.275325921
29,14,9200,657.142857143,126.90416403
30,13,10590,814.615384615,115.854930095
31,12,10560,880.0,104.877380588
32,16,11600,725.0,98.5936830534
33,13,12420,955.384615385,87.4579495152
34,11,10490,953.636363636,81.8598088112
35,13,9000,692.307692308,72.6484095412
36,16,8340,521.25,65.3870674509
37,14,10000,714.285714286,64.0866832327
38,14,12030,859.285714286,57.194662657
39,14,10840,774.285714286,59.6008421049
40,15,9900,660.0,55.1182052921
41,12,14850,1237.5,53.1651730357
42,12,12310,1025.83333333,48.1004275944
43,12,16280,1356.66666667,46.6170607774
44,12,11400,950.0,45.3187846433
45,12,10640,886.666666667,43.3484230655
46,13,15530,1194.61538462,39.3790479452
47,14,8290,592.142857143,38.1571585478
48,12,12030,1002.5,36.1992958146
49,11,11820,1074.54545455,34.8784060634
50,12,8440,703.333333333,35.7796006798
51,11,13510,1228.18181818,35.2024092457
52,11,12630,1148.18181818,35.0615240449
53,14,14170,1012.14285714,33.0564820476
54,13,14020,1078.46153846,32.3340198758
55,12,12970,1080.83333333,32.3146234295
56,12,14830,1235.83333333,30.3946438438
57,12,15200,1266.66666667,27.7610022779
58,11,10170,924.545454545,31.4671889129
59,12,12280,1023.33333333,30.2749790467
60,11,16310,1482.72727273,30.4455185665
61,11,12960,1178.18181818,32.6432690106
62,12,15990,1332.5,31.4214242511
63,11,10080,916.363636364,31.6837041037
64,12,14520,1210.0,31.8755743049
65,13,12570,966.923076923,33.3795817239
66,11,13980,1270.90909091,35.6859551507
67,9,13480,1497.77777778,33.4343591727
68,11,19420,1765.45454545,33.4131670167
69,11,15680,1425.45454545,29.8047400346
70,11,13210,1200.90909091,31.596275639
71,11,11890,1080.90909091,31.8691159613
72,17,9530,560.588235294,31.1106298777
73,10,16320,1632.0,31.9475425979
74,12,10560,880.0,33.8849511685
75,11,14740,1340.0,32.7597640058
76,11,16750,1522.72727273,35.3917189136
77,11,16330,1484.54545455,36.5484243011
78,13,16020,1232.30769231,35.6912053312
79,10,16680,1668.0,37.6228446099
80,12,11980,998.333333333,41.2858314513
81,10,13400,1340.0,41.1698480349
82,10,14820,1482.0,39.3889594252
83,11,13030,1184.54545455,38.531418942
84,10,14620,1462.0,37.9420160924
85,12,14170,1180.83333333,36.8329197205
86,11,13670,1242.72727273,36.1481080675
87,11,13480,1225.45454545,34.0844894348
88,10,12280,1228.0,35.2408278294
89,11,13000,1181.81818182,34.9765286669
90,10,15490,1549.0,34.0811529833
91,11,13020,1183.63636364,38.0326886215
92,11,13360,1214.54545455,39.8821002471
93,10,13640,1364.0,42.7785729352
94,11,15500,1409.09090909,45.5930417405
95,10,12120,1212.0,44.013239863
96,12,14670,1222.5,45.3165304306
97,9,15270,1696.66666667,41.9159249452
98,10,16400,1640.0,41.9181287454
99,10,14030,1403.0,40.898006511
100,13,11930,917.692307692,38.9582988212
