epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,20,2930,146.5,0.900009129441
2,24,1115,46.4583333333,1.41804220765
3,13,4000,307.692307692,2.18858410957
4,15,3495,233.0,2.53435250717
5,12,3875,322.916666667,3.56709230528
6,10,4040,404.0,4.4615593569
7,10,3525,352.5,5.41273725135
8,11,3365,305.909090909,6.49869263468
9,11,2770,251.818181818,7.59421183926
10,11,2515,228.636363636,8.86008305705
11,13,3585,275.769230769,9.24196597311
12,10,2570,257.0,10.1093358521
13,10,3435,343.5,10.7012108163
14,9,3285,365.0,10.9977517404
15,14,3770,269.285714286,10.8652534109
16,9,3600,400.0,10.4171498061
17,9,2420,268.888888889,10.2203168099
18,9,3445,382.777777778,9.67443080219
19,9,3745,416.111111111,9.50286773277
20,10,1840,184.0,9.74378816486
21,10,3755,375.5,9.08124651345
22,10,3030,303.0,8.90578001068
23,9,4250,472.222222222,8.52049749865
24,9,2890,321.111111111,8.24214274226
25,10,3510,351.0,7.77115056197
26,11,4130,375.454545455,7.12698176586
27,9,4105,456.111111111,6.86364287294
28,9,3375,375.0,6.42811872237
29,9,4135,459.444444444,5.74747637219
30,9,5285,587.222222222,5.35460226351
31,10,5605,560.5,4.83778958272
32,9,4250,472.222222222,4.68757532432
33,10,5355,535.5,4.44972692455
34,11,4270,388.181818182,4.14822742139
35,8,4715,589.375,4.25065701699
36,10,4085,408.5,4.24744943592
37,9,5030,558.888888889,4.31623891594
38,8,4525,565.625,4.21950510726
39,10,5365,536.5,4.26853759255
40,9,4790,532.222222222,4.10872009228
41,11,3775,343.181818182,3.72579756876
42,11,4885,444.090909091,3.78999777621
43,10,5400,540.0,3.75823729587
44,9,5140,571.111111111,3.903916139
45,12,5830,485.833333333,4.14604872878
46,12,5325,443.75,3.86200404762
47,12,3990,332.5,3.8860531322
48,12,5760,480.0,3.84083538831
49,9,4870,541.111111111,4.13032501273
50,11,5535,503.181818182,4.53988130367
51,9,5970,663.333333333,4.41909228876
52,9,5265,585.0,4.73742804911
53,10,4765,476.5,4.74748577127
54,11,4875,443.181818182,5.25138451591
55,11,5065,460.454545455,5.10265233664
56,7,4910,701.428571429,5.22645381016
57,9,5285,587.222222222,5.25548499873
58,9,4790,532.222222222,5.3780669638
59,12,3935,327.916666667,5.13751658324
60,14,6090,435.0,5.04016817088
61,7,4480,640.0,4.82619243208
62,8,5135,641.875,4.92367693014
63,8,4880,610.0,4.82264226164
64,10,5505,550.5,4.77207622385
65,11,5015,455.909090909,4.6949032181
66,14,5870,419.285714286,4.65101714469
67,12,4755,396.25,4.69578797886
68,11,4660,423.636363636,4.96108944163
69,9,5365,596.111111111,4.43978286438
70,9,5550,616.666666667,4.41353212097
71,9,4925,547.222222222,4.6558423
72,10,5805,580.5,4.40912055433
73,8,5825,728.125,4.39394336959
74,9,6055,672.777777778,4.72542209688
75,10,5790,579.0,4.54442857667
76,10,5330,533.0,4.48198854133
77,9,5360,595.555555556,4.51872960452
78,10,5765,576.5,4.6096047036
79,10,5760,576.0,4.56877068563
80,8,5705,713.125,4.32768486711
81,12,5805,483.75,4.22069593001
82,8,4430,553.75,4.3865127947
83,12,5180,431.666666667,4.49468386231
84,9,4715,523.888888889,4.46083865627
85,8,4815,601.875,4.71572241872
86,12,4315,359.583333333,4.61483272837
87,12,4495,374.583333333,4.44800967843
88,11,4495,408.636363636,4.57057680902
89,9,5365,596.111111111,4.3238580483
90,8,5370,671.25,4.66916149872
91,11,5170,470.0,4.75049067476
92,12,2450,204.166666667,4.79994459182
93,13,3875,298.076923077,4.56275456261
94,7,4435,633.571428571,4.54895738987
95,9,5335,592.777777778,4.8382984405
96,12,4880,406.666666667,4.31173861671
97,8,4855,606.875,4.27174466242
98,11,5475,497.727272727,4.32556371225
99,10,4255,425.5,4.30298205271
100,11,4680,425.454545455,4.54562294146
