epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,14,2980,212.857142857,0.462225232376
2,16,2755,172.1875,0.516748440001
3,17,3590,211.176470588,0.803022307228
4,14,4775,341.071428571,0.860303960947
5,20,3545,177.25,0.913429063318
6,17,3145,185.0,1.13269665686
7,18,2945,163.611111111,1.15585255024
8,16,3195,199.6875,1.25983988385
9,16,4655,290.9375,1.29351943613
10,17,3030,178.235294118,1.30346492908
11,16,4405,275.3125,1.32610949184
12,13,4505,346.538461538,1.27184717082
13,16,3890,243.125,1.32256836047
14,15,5485,365.666666667,1.35297109022
15,16,3635,227.1875,1.43381348007
16,17,5070,298.235294118,1.43638572273
17,14,5220,372.857142857,1.36093925013
18,16,4875,304.6875,1.3519167115
19,15,5250,350.0,1.42885918374
20,17,4845,285.0,1.44699721569
21,15,5280,352.0,1.43341947159
22,16,5080,317.5,1.37034985706
23,15,5070,338.0,1.34602619361
24,14,3980,284.285714286,1.42804450892
25,18,4765,264.722222222,1.33771359998
26,16,5630,351.875,1.28382629472
27,15,4625,308.333333333,1.32195081886
28,16,4550,284.375,1.30562731473
29,16,5275,329.6875,1.29741297494
30,14,5860,418.571428571,1.27476859739
31,17,4700,276.470588235,1.29493406566
32,16,5365,335.3125,1.31858273118
33,15,4970,331.333333333,1.26464761906
34,16,4630,289.375,1.32569615051
35,23,4590,199.565217391,1.27127862059
36,14,5355,382.5,1.29987582005
37,14,5820,415.714285714,1.26573185354
38,20,4305,215.25,1.30979954562
39,16,4840,302.5,1.26317184706
40,16,5305,331.5625,1.33895649966
41,16,5330,333.125,1.27732733105
42,17,4665,274.411764706,1.21668979765
43,18,4930,273.888888889,1.29382199573
44,18,4570,253.888888889,1.3214641477
45,15,5660,377.333333333,1.23789316493
46,15,4060,270.666666667,1.25498559638
47,15,5735,382.333333333,1.25737686604
48,18,5970,331.666666667,1.27412969527
49,17,5000,294.117647059,1.3581547032
50,17,6020,354.117647059,1.31703804876
51,16,4780,298.75,1.24040295699
52,15,5225,348.333333333,1.26656461778
53,17,5300,311.764705882,1.23637702713
54,16,4765,297.8125,1.29717561511
55,18,5730,318.333333333,1.26438381213
56,16,5200,325.0,1.23498650934
57,14,5735,409.642857143,1.24874759447
58,14,5480,391.428571429,1.25067372114
59,15,4775,318.333333333,1.21051800905
60,15,4405,293.666666667,1.25556060864
61,17,4235,249.117647059,1.27772679624
62,15,5430,362.0,1.27656009209
63,16,5125,320.3125,1.27245768679
64,14,5765,411.785714286,1.24754803951
65,18,4680,260.0,1.24309889654
66,16,4720,295.0,1.32891960512
67,16,5315,332.1875,1.23950295629
68,16,5350,334.375,1.2633940543
69,17,4995,293.823529412,1.14820707781
70,16,5135,320.9375,1.12556534906
71,14,5795,413.928571429,1.14260052381
72,14,4930,352.142857143,1.12876535252
73,18,4685,260.277777778,1.16757248757
74,15,4530,302.0,1.16450704315
75,18,5725,318.055555556,1.17973022312
76,18,4565,253.611111111,1.21335772656
77,17,5605,329.705882353,1.1590611888
78,17,5120,301.176470588,1.18060585515
79,18,5960,331.111111111,1.19314669688
80,17,4935,290.294117647,1.19777015426
81,14,5230,373.571428571,1.14733353079
82,16,5165,322.8125,1.14764384184
83,16,5425,339.0625,1.1492640789
84,17,5165,303.823529412,1.13705248102
85,16,4525,282.8125,1.15411876976
86,16,4410,275.625,1.16562760445
87,16,4990,311.875,1.1580515868
88,17,4535,266.764705882,1.17161757012
89,15,6095,406.333333333,1.09241354665
90,16,4760,297.5,1.13326313201
91,18,4730,262.777777778,1.22870885425
92,16,5635,352.1875,1.17542612453
93,14,5175,369.642857143,1.14758819932
94,17,5430,319.411764706,1.16691636597
95,15,5635,375.666666667,1.15224528691
96,16,4825,301.5625,1.17680246628
97,13,4205,323.461538462,1.19865944217
98,16,5890,368.125,1.13946383464
99,14,5515,393.928571429,1.13504828424
100,14,4140,295.714285714,1.21476862172
