epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,4850,373.076923077,0.658975923707
2,16,3625,226.5625,0.830305973014
3,20,3210,160.5,0.938186602162
4,14,3730,266.428571429,1.05129254236
5,19,3630,191.052631579,1.23718062567
6,15,4690,312.666666667,1.28509248368
7,15,3270,218.0,1.29967599436
8,15,3960,264.0,1.27195271172
9,17,4180,245.882352941,1.53879294167
10,14,5735,409.642857143,1.38208442896
11,16,4885,305.3125,1.3384943933
12,15,4485,299.0,1.51420424356
13,16,4240,265.0,1.42422097906
14,17,4100,241.176470588,1.38138025154
15,16,4875,304.6875,1.3924962955
16,14,4245,303.214285714,1.45319089982
17,17,4880,287.058823529,1.31868972934
18,13,5045,388.076923077,1.24950824102
19,15,5245,349.666666667,1.39293735223
20,15,5095,339.666666667,1.34267158819
21,15,4855,323.666666667,1.38783274432
22,16,4215,263.4375,1.41643690406
23,17,3645,214.411764706,1.30238156595
24,14,4840,345.714285714,1.36068017184
25,15,4415,294.333333333,1.29484991947
26,15,4835,322.333333333,1.33294121325
27,16,4360,272.5,1.32228876734
28,14,4920,351.428571429,1.3164082371
29,13,4135,318.076923077,1.2755881658
30,18,5700,316.666666667,1.28653646414
31,17,3875,227.941176471,1.27312681134
32,16,4990,311.875,1.24020728593
33,17,4805,282.647058824,1.26079497931
34,16,4315,269.6875,1.29297021304
35,14,4760,340.0,1.32367799065
36,14,4365,311.785714286,1.33333850699
37,15,4630,308.666666667,1.26093001877
38,16,5000,312.5,1.31429913611
39,16,5045,315.3125,1.26987935761
40,13,4935,379.615384615,1.31618308969
41,15,5875,391.666666667,1.2487318642
42,15,3955,263.666666667,1.29558757049
43,16,4285,267.8125,1.29287693401
44,18,4405,244.722222222,1.32313412511
45,13,3935,302.692307692,1.29662292121
46,14,4815,343.928571429,1.26260121376
47,19,4895,257.631578947,1.27174095628
48,15,4725,315.0,1.29666574738
49,13,4845,372.692307692,1.28991465182
50,15,5685,379.0,1.29048816894
51,16,4755,297.1875,1.21930394702
52,19,3770,198.421052632,1.31611461338
53,15,5605,373.666666667,1.38765151269
54,14,4610,329.285714286,1.29090292371
55,14,5870,419.285714286,1.44451263198
56,14,5075,362.5,1.2699642507
57,18,4040,224.444444444,1.29876706953
58,17,4985,293.235294118,1.24411541458
59,16,4940,308.75,1.29393323737
60,15,5205,347.0,1.34553564958
61,16,6135,383.4375,1.23031386816
62,18,4565,253.611111111,1.2602234982
63,18,5840,324.444444444,1.33162676125
64,15,4970,331.333333333,1.25798033661
65,18,4845,269.166666667,1.28733214722
66,14,5835,416.785714286,1.28461638647
67,17,4495,264.411764706,1.22347600582
68,18,4085,226.944444444,1.19386172828
69,14,4485,320.357142857,1.2546039479
70,15,5515,367.666666667,1.22791614132
71,17,3935,231.470588235,1.33723683631
72,12,5420,451.666666667,1.25324610653
73,14,5115,365.357142857,1.26502498051
74,15,5035,335.666666667,1.32583256762
75,17,5165,303.823529412,1.26819373546
76,17,4255,250.294117647,1.28512284624
77,18,4610,256.111111111,1.32598335117
78,16,4410,275.625,1.27619102085
79,17,4570,268.823529412,1.26911911536
80,15,4615,307.666666667,1.22789695022
81,16,4320,270.0,1.28134747493
82,16,5595,349.6875,1.17448238787
83,18,4550,252.777777778,1.26893167626
84,13,4420,340.0,1.31851680626
85,14,5375,383.928571429,1.22510822334
86,14,5200,371.428571429,1.25944486334
87,15,4985,332.333333333,1.19243011806
88,19,4315,227.105263158,1.17632024357
89,19,4480,235.789473684,1.21924610023
90,16,4985,311.5625,1.22526847772
91,17,4060,238.823529412,1.25919168334
92,14,5485,391.785714286,1.15599115726
93,18,3945,219.166666667,1.23634525196
94,16,4395,274.6875,1.27427658064
95,16,5660,353.75,1.25312635753
96,18,4340,241.111111111,1.27492885253
97,14,4490,320.714285714,1.20249370626
98,17,3875,227.941176471,1.24285035299
99,19,4320,227.368421053,1.17683399022
100,15,5240,349.333333333,1.19953510271
