epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,17,1855,109.117647059,0.195682285687
2,17,3580,210.588235294,0.272269540081
3,17,3045,179.117647059,0.357688249167
4,20,3985,199.25,0.496420568102
5,21,2575,122.619047619,0.562587560383
6,17,3390,199.411764706,0.65692563239
7,15,3930,262.0,0.747634595078
8,15,4580,305.333333333,0.852063282382
9,15,4480,298.666666667,0.995677743018
10,14,4600,328.571428571,0.992200805684
11,18,4135,229.722222222,1.03230707153
12,16,4200,262.5,1.10063349107
13,14,4180,298.571428571,1.21451182786
14,19,3855,202.894736842,1.21559846833
15,16,3390,211.875,1.18569915335
16,16,3445,215.3125,1.24322941935
17,15,5150,343.333333333,1.27687290154
18,16,4565,285.3125,1.35228586038
19,15,4230,282.0,1.34958931512
20,16,5590,349.375,1.36709926128
21,16,5105,319.0625,1.36670030146
22,14,5565,397.5,1.34889305529
23,15,5370,358.0,1.31688336273
24,18,4465,248.055555556,1.32924235992
25,15,4955,330.333333333,1.34957392336
26,18,4790,266.111111111,1.34478996261
27,16,5490,343.125,1.30163351683
28,14,4635,331.071428571,1.27441305132
29,17,5315,312.647058824,1.26519882621
30,17,4790,281.764705882,1.29690055197
31,18,4345,241.388888889,1.32979722636
32,14,4980,355.714285714,1.32435552314
33,16,5075,317.1875,1.31257106235
34,17,5270,310.0,1.37302653902
35,15,5695,379.666666667,1.31731306474
36,16,5420,338.75,1.29240614394
37,15,5250,350.0,1.36646405252
38,16,4335,270.9375,1.35262275681
39,16,5190,324.375,1.32823276941
40,14,5235,373.928571429,1.29231289257
41,15,4610,307.333333333,1.23390378787
42,14,4960,354.285714286,1.2214216836
43,15,5035,335.666666667,1.22263864615
44,17,4905,288.529411765,1.25513578643
45,15,4860,324.0,1.24178031109
46,14,4525,323.214285714,1.24711428593
47,15,4745,316.333333333,1.1842144929
48,16,5120,320.0,1.23321937289
49,18,3700,205.555555556,1.20657107175
50,14,5225,373.214285714,1.20212954855
51,17,4375,257.352941176,1.18758965489
52,15,5670,378.0,1.16552623822
53,13,3850,296.153846154,1.24564355041
54,14,5030,359.285714286,1.21435455099
55,15,4305,287.0,1.21593801007
56,16,5215,325.9375,1.20755796885
57,15,4850,323.333333333,1.2373357647
58,15,5350,356.666666667,1.21396356136
59,17,5250,308.823529412,1.18454330737
60,14,5265,376.071428571,1.14207028062
61,17,4365,256.764705882,1.21902687647
62,15,4955,330.333333333,1.22824712078
63,17,5175,304.411764706,1.22443020928
64,15,5270,351.333333333,1.20398682827
65,16,5120,320.0,1.2164043203
66,15,5065,337.666666667,1.19762256508
67,15,4585,305.666666667,1.1847233023
68,15,5555,370.333333333,1.14267253137
69,17,4935,290.294117647,1.15684372821
70,17,5810,341.764705882,1.14966216427
71,15,6445,429.666666667,1.18135225935
72,14,4905,350.357142857,1.18104149344
73,15,4900,326.666666667,1.16557046987
74,16,4910,306.875,1.15005659925
75,16,5250,328.125,1.1938484264
76,16,5475,342.1875,1.20654111105
77,14,5645,403.214285714,1.18444866837
78,18,5700,316.666666667,1.19728588925
79,15,5020,334.666666667,1.19429132288
80,14,5615,401.071428571,1.22741376326
81,15,4280,285.333333333,1.18252794651
82,14,5445,388.928571429,1.21651425503
83,15,5180,345.333333333,1.20995969032
84,15,4985,332.333333333,1.16833000298
85,16,4565,285.3125,1.15706196194
86,15,5830,388.666666667,1.16391153394
87,15,5040,336.0,1.14668369312
88,18,6295,349.722222222,1.10630968815
89,14,6140,438.571428571,1.13891307246
90,15,5905,393.666666667,1.15226849569
91,12,5485,457.083333333,1.15238105143
92,15,4590,306.0,1.17716983717
93,15,5250,350.0,1.20850716197
94,14,5285,377.5,1.20569959922
95,13,5675,436.538461538,1.20832604123
96,19,5235,275.526315789,1.25634501258
97,15,4900,326.666666667,1.25134752537
98,13,4650,357.692307692,1.23738036424
99,15,5955,397.0,1.23115001839
100,15,5470,364.666666667,1.21140520698
