epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,21,575,27.380952381,0.739681495186
2,18,615,34.1666666667,0.649327203827
3,29,660,22.7586206897,0.484088275516
4,16,2005,125.3125,0.473281005393
5,16,3095,193.4375,0.452108053113
6,15,3675,245.0,0.545878447462
7,11,1920,174.545454545,0.506993543059
8,19,4200,221.052631579,0.566737197405
9,16,1725,107.8125,0.628654281162
10,16,3565,222.8125,0.713893650114
11,27,1305,48.3333333333,0.768794445698
12,22,3100,140.909090909,0.683728152141
13,18,3445,191.388888889,0.65346845998
14,18,2665,148.055555556,0.75846659936
15,18,3520,195.555555556,0.821225240435
16,28,2600,92.8571428571,0.69340413146
17,14,3530,252.142857143,0.684511357318
18,17,4130,242.941176471,0.684741066396
19,17,4090,240.588235294,0.716546924016
20,16,4350,271.875,0.780806045793
21,22,2085,94.7727272727,0.759031540595
22,18,3395,188.611111111,0.88177066813
23,19,3275,172.368421053,0.85677974087
24,14,4835,345.357142857,0.754207923277
25,14,5170,369.285714286,0.735282224802
26,17,4885,287.352941176,0.818487997835
27,16,3175,198.4375,0.769513782995
28,23,3715,161.52173913,0.79182272337
29,18,3295,183.055555556,0.826394155875
30,23,5020,218.260869565,0.84295645942
31,18,5395,299.722222222,0.882288792504
32,15,3155,210.333333333,0.855011375195
33,17,3910,230.0,0.831016886451
34,25,5250,210.0,0.816976265083
35,16,4940,308.75,0.836892732771
36,19,3750,197.368421053,0.826582525722
37,16,4675,292.1875,0.940957506641
38,20,2380,119.0,0.87147647836
39,17,4825,283.823529412,0.862521648158
40,14,5695,406.785714286,0.892413949888
41,16,5030,314.375,0.865341236542
42,22,5165,234.772727273,0.820924584677
43,14,4980,355.714285714,0.932019842083
44,16,5530,345.625,0.925732497738
45,18,4470,248.333333333,0.854637541398
46,17,5705,335.588235294,0.934570275475
47,16,5420,338.75,1.00819889703
48,16,4265,266.5625,0.940396916536
49,17,4305,253.235294118,0.975787052666
50,14,5380,384.285714286,0.950635411064
51,16,4445,277.8125,0.907575519946
52,17,6080,357.647058824,0.949111893964
53,15,4855,323.666666667,0.949636463453
54,19,5630,296.315789474,0.995756101778
55,17,5980,351.764705882,1.02775242898
56,15,5535,369.0,0.96151414685
57,16,5030,314.375,0.947611988378
58,15,4380,292.0,0.956967701036
59,23,4375,190.217391304,1.03575239081
60,16,5320,332.5,0.955962609255
61,16,5355,334.6875,1.02586441105
62,13,6120,470.769230769,1.05169311222
63,15,5015,334.333333333,0.983849934076
64,16,2430,151.875,0.961755073376
65,19,5315,279.736842105,1.00682728076
66,17,3940,231.764705882,1.08142894683
67,14,4820,344.285714286,0.963534083159
68,14,5450,389.285714286,1.02363476241
69,13,4165,320.384615385,0.983309819794
70,16,5110,319.375,0.985455938659
71,17,5145,302.647058824,0.953055399766
