epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,21,520,24.7619047619,0.489084487157
2,11,3010,273.636363636,0.560828866977
3,13,2045,157.307692308,0.522726372611
4,16,3385,211.5625,0.6625487355
5,14,3330,237.857142857,0.671494374957
6,16,4025,251.5625,0.765799764926
7,15,3530,235.333333333,0.771423246318
8,15,3235,215.666666667,0.784679150505
9,14,3665,261.785714286,0.844180270364
10,16,4000,250.0,0.822280011759
11,16,4495,280.9375,0.854930027146
12,13,5025,386.538461538,0.989742099978
13,15,4225,281.666666667,0.950153404681
14,14,4720,337.142857143,0.997276140172
15,15,5430,362.0,0.959023306053
16,16,3850,240.625,0.943711184929
17,15,5200,346.666666667,0.979355370472
18,19,4470,235.263157895,1.02523635725
19,14,5555,396.785714286,0.978629826475
20,16,4900,306.25,1.01409472064
21,15,5440,362.666666667,0.974775819979
22,17,3935,231.470588235,0.987992819874
23,15,5100,340.0,0.992557679643
24,14,6010,429.285714286,0.966447096905
25,13,5320,409.230769231,0.995711569535
26,16,4625,289.0625,0.996085918178
27,15,5775,385.0,0.956884580157
28,16,6030,376.875,1.06490486651
29,15,4650,310.0,1.14138955189
30,16,4890,305.625,1.08730436525
31,13,5760,443.076923077,1.09226993152
32,12,5385,448.75,1.05948524855
33,17,5045,296.764705882,1.00950562235
34,15,5195,346.333333333,1.04668749151
35,17,4375,257.352941176,1.00822180969
36,17,4700,276.470588235,0.97433409668
37,17,5440,320.0,1.00544786023
38,14,4915,351.071428571,1.08150854438
39,17,4745,279.117647059,1.04277295929
40,15,5780,385.333333333,1.06110661003
41,15,4045,269.666666667,1.0803560674
42,16,4770,298.125,1.0345884444
43,14,5655,403.928571429,1.08911770708
44,15,6010,400.666666667,1.09180822453
45,14,4630,330.714285714,1.02743270481
46,17,5165,303.823529412,1.02784316833
47,16,6090,380.625,1.02831439934
48,18,4380,243.333333333,1.0298477355
49,16,5725,357.8125,1.02599174836
50,13,5280,406.153846154,1.03964032684
51,14,6390,456.428571429,1.01741184131
52,15,4790,319.333333333,1.03995009448
53,20,4990,249.5,1.09431484957
54,15,5310,354.0,1.08843382314
55,14,4585,327.5,1.04237255035
56,15,5025,335.0,1.05236194109
57,15,5250,350.0,1.01649484009
58,15,5280,352.0,1.02442609754
59,15,4180,278.666666667,1.02342530285
60,18,5240,291.111111111,1.05323098739
61,17,4490,264.117647059,1.083384615
62,20,2840,142.0,1.07057924401
63,14,5260,375.714285714,1.11958067612
64,20,3645,182.25,1.06954405759
65,18,5535,307.5,1.10961544766
66,16,6010,375.625,1.10812266704
67,19,4245,223.421052632,1.06261947892
68,13,5150,396.153846154,1.05003412348
69,16,4885,305.3125,1.07862060912
70,17,5190,305.294117647,1.05896484676
71,16,5185,324.0625,1.069808848
72,17,4950,291.176470588,1.03983604189
73,15,5435,362.333333333,1.08321241268
74,14,5045,360.357142857,1.09105937145
75,14,5925,423.214285714,1.11540155304
76,18,4460,247.777777778,1.08538615403
77,15,5055,337.0,1.0533662572
78,16,4965,310.3125,1.06301916271
79,19,4905,258.157894737,1.09759666265
80,16,5360,335.0,1.08909001023
81,15,5025,335.0,1.10665822919
82,17,4160,244.705882353,1.11174097265
83,13,4640,356.923076923,1.07267277881
84,14,5270,376.428571429,1.06349955253
85,18,4545,252.5,1.0722804181
86,16,5015,313.4375,1.12306250559
87,16,5920,370.0,1.07817065563
88,15,6155,410.333333333,1.08808617616
89,17,5755,338.529411765,1.09296540827
90,16,5105,319.0625,1.10813258673
91,16,5965,372.8125,1.13885010608
92,16,4590,286.875,1.09397124109
93,17,5735,337.352941176,1.08639403355
94,15,5470,364.666666667,1.03047653436
95,14,6290,449.285714286,1.04136463341
96,16,5585,349.0625,1.03062006257
97,16,5165,322.8125,1.04200140264
98,17,4650,273.529411765,1.05909997777
99,14,5960,425.714285714,1.02807435617
100,16,6120,382.5,1.01722369387
