epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,15,670,44.6666666667,0.50211343281
2,18,3015,167.5,0.77583736849
3,15,4375,291.666666667,0.884748737665
4,22,3035,137.954545455,1.33752860686
5,17,4475,263.235294118,1.45010844798
6,16,4060,253.75,1.43694417707
7,17,3430,201.764705882,1.52811662816
8,16,4040,252.5,1.42605102214
9,18,3310,183.888888889,1.55155090785
10,15,6095,406.333333333,1.54302934071
11,16,3940,246.25,1.48854052212
12,23,3035,131.956521739,1.49231444989
13,15,4070,271.333333333,1.55740202906
14,18,4580,254.444444444,1.42235506602
15,16,4650,290.625,1.42412426533
16,15,4920,328.0,1.43486711395
17,16,4775,298.4375,1.35639743649
18,17,4810,282.941176471,1.32606123318
19,14,3535,252.5,1.38094267349
20,15,4665,311.0,1.35427697019
21,14,5175,369.642857143,1.39050851486
22,14,5655,403.928571429,1.40910286915
23,15,3615,241.0,1.30278472652
24,15,4885,325.666666667,1.36347800853
25,15,5045,336.333333333,1.37585994397
26,18,4970,276.111111111,1.39307712923
27,16,3940,246.25,1.44212528207
28,14,5130,366.428571429,1.33745468921
29,16,5730,358.125,1.41322116591
30,18,4700,261.111111111,1.39044801422
31,16,4740,296.25,1.44458266183
32,17,4525,266.176470588,1.43241504896
33,15,4895,326.333333333,1.45451344794
34,15,5030,335.333333333,1.44345943375
35,15,3965,264.333333333,1.45306154218
36,15,5515,367.666666667,1.41462375764
37,14,4845,346.071428571,1.35556648422
38,14,4010,286.428571429,1.28588610904
39,15,5545,369.666666667,1.36701678241
40,15,5070,338.0,1.35537370078
41,15,4455,297.0,1.32980508893
42,17,5065,297.941176471,1.30776930965
43,14,4095,292.5,1.33294933356
44,14,6065,433.214285714,1.27499008992
45,16,5255,328.4375,1.34290461461
46,17,4545,267.352941176,1.38938890575
47,17,4535,266.764705882,1.34921073438
48,17,5065,297.941176471,1.31528539107
49,14,5070,362.142857143,1.38628767381
50,15,4760,317.333333333,1.33933947218
51,15,3920,261.333333333,1.41397818505
52,17,5140,302.352941176,1.40624670231
53,15,5005,333.666666667,1.32450474124
54,15,5665,377.666666667,1.35369386445
55,18,4940,274.444444444,1.37692675877
56,15,4835,322.333333333,1.32959160598
57,15,4210,280.666666667,1.32478665542
58,19,3720,195.789473684,1.33178713505
59,16,5345,334.0625,1.2971276316
60,15,5900,393.333333333,1.31931071785
61,15,5305,353.666666667,1.35720468208
62,15,4825,321.666666667,1.26076286525
63,16,4210,263.125,1.24928397102
64,15,5250,350.0,1.27551445819
65,14,5080,362.857142857,1.27060591962
66,16,4930,308.125,1.27935376432
67,15,5345,356.333333333,1.28182132881
68,15,4360,290.666666667,1.25004002795
69,15,4795,319.666666667,1.30926918739
70,18,5100,283.333333333,1.32992831812
71,16,4980,311.25,1.34621025277
72,16,4900,306.25,1.30131399099
73,15,5040,336.0,1.31640880131
74,14,5780,412.857142857,1.32151513637
75,15,5250,350.0,1.32186804995
76,15,4220,281.333333333,1.27486216228
77,16,4720,295.0,1.29437584888
78,14,5565,397.5,1.30613108396
79,15,4475,298.333333333,1.34352168117
80,17,3590,211.176470588,1.30318827358
81,16,3645,227.8125,1.24608181179
82,16,4965,310.3125,1.34894742015
83,14,5295,378.214285714,1.36884919372
84,15,5415,361.0,1.35194781879
85,16,4860,303.75,1.26750801346
86,21,4125,196.428571429,1.33721096355
87,15,4760,317.333333333,1.28814490529
88,15,4485,299.0,1.27131462942
89,17,5130,301.764705882,1.32548068771
90,17,5840,343.529411765,1.2670913798
91,13,5305,408.076923077,1.36582000905
92,14,4510,322.142857143,1.36138968106
93,15,4735,315.666666667,1.29737516104
94,17,4115,242.058823529,1.28134793191
95,17,4335,255.0,1.20652265821
96,16,5005,312.8125,1.25845550329
97,16,5300,331.25,1.29060793752
98,18,5095,283.055555556,1.25787676485
99,15,4660,310.666666667,1.29434481798
100,15,5620,374.666666667,1.30765899287
