epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,13,4095,315.0,0.447556273513
2,18,1855,103.055555556,0.560641548717
3,15,3050,203.333333333,0.700725055095
4,18,3055,169.722222222,0.736334599687
5,18,3295,183.055555556,0.744967263266
6,15,2710,180.666666667,0.757664246366
7,20,3285,164.25,0.728515379585
8,21,2410,114.761904762,0.840747656589
9,17,2755,162.058823529,0.941320182639
10,19,2410,126.842105263,0.859842281258
11,22,1660,75.4545454545,1.0154756673
12,18,3355,186.388888889,0.901862224671
13,16,2865,179.0625,0.891347085061
14,19,3595,189.210526316,0.883767833281
15,19,3210,168.947368421,0.844259089134
16,19,3000,157.894736842,0.890110374275
17,16,2715,169.6875,0.891985264616
18,15,3895,259.666666667,0.939826040636
19,18,3880,215.555555556,0.921737227547
20,17,3500,205.882352941,0.902037796443
21,18,3315,184.166666667,0.892964768419
22,17,3845,226.176470588,0.828752393043
23,15,4095,273.0,0.844869771292
24,17,4680,275.294117647,0.795077769742
25,16,3310,206.875,0.824949913542
26,17,4250,250.0,0.804794322648
27,15,4405,293.666666667,0.876221407223
28,16,3980,248.75,0.89446759887
29,23,3190,138.695652174,0.886808402063
30,16,4480,280.0,0.878093144391
31,16,3385,211.5625,0.82441012267
32,16,4255,265.9375,0.889269312294
33,21,3380,160.952380952,0.862912281565
34,17,3730,219.411764706,0.88041723731
35,19,3090,162.631578947,0.893075983301
36,16,4485,280.3125,0.9244757511
37,18,4270,237.222222222,0.86898850943
38,17,4115,242.058823529,0.958960442943
39,18,4125,229.166666667,0.874379631747
40,19,4415,232.368421053,0.856066858219
41,15,5405,360.333333333,0.938196563562
42,15,4445,296.333333333,0.942915504752
43,21,3675,175.0,0.960871739332
44,15,4180,278.666666667,0.95809197451
45,18,4390,243.888888889,0.909591554068
46,18,3990,221.666666667,0.910243578963
47,19,4590,241.578947368,0.976591645312
48,14,3775,269.642857143,0.949711447321
49,16,4615,288.4375,0.913099688897
50,23,4235,184.130434783,0.931386611303
51,18,4500,250.0,0.954680151483
52,17,3880,228.235294118,0.896149846325
53,16,5210,325.625,0.893035565866
54,15,3995,266.333333333,0.967144089593
55,20,5085,254.25,0.937064580722
56,26,3685,141.730769231,0.871686078655
57,18,3680,204.444444444,0.953495359728
58,17,5095,299.705882353,0.955239555668
59,11,4405,400.454545455,0.937385763833
60,19,3730,196.315789474,0.911253424883
61,22,5025,228.409090909,0.90313920822
62,16,3970,248.125,0.90999842938
63,15,4700,313.333333333,0.916229209127
64,15,4940,329.333333333,0.905355242277
65,14,5075,362.5,0.89936083152
66,15,5255,350.333333333,0.908486975944
67,15,5275,351.666666667,0.95426140002
68,20,4275,213.75,0.952223103819
69,20,3830,191.5,0.933498069849
70,19,4570,240.526315789,0.917367123738
71,16,4220,263.75,0.949050471233
72,18,3990,221.666666667,0.936615329916
73,18,5095,283.055555556,0.949896801552
74,22,3720,169.090909091,0.953735270314
75,18,4050,225.0,0.924005915141
76,18,4190,232.777777778,0.856815251019
77,16,4390,274.375,0.874077321729
78,15,4945,329.666666667,0.94032065819
79,17,4135,243.235294118,0.944510924807
80,18,5355,297.5,0.983617371647
81,17,3005,176.764705882,0.970262646731
82,20,4915,245.75,1.00276277809
83,16,4010,250.625,1.004249166
84,18,4665,259.166666667,0.967014138764
85,26,3470,133.461538462,0.934058789928
86,15,4880,325.333333333,0.927052748827
87,19,4205,221.315789474,0.928273620801
88,14,4665,333.214285714,0.903468671674
89,16,4570,285.625,0.970785960024
90,16,4465,279.0625,0.97656153677
91,19,4935,259.736842105,0.959556908282
92,17,4600,270.588235294,0.958566571902
93,21,3555,169.285714286,1.00721785139
94,16,4855,303.4375,0.942481267182
95,16,5485,342.8125,0.894407220986
96,22,3810,173.181818182,0.957460873006
97,18,3370,187.222222222,0.957491148887
98,13,5765,443.461538462,0.937172493553
99,20,3920,196.0,0.92702626396
100,17,4785,281.470588235,0.925088877026
