epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,16,2880,180.0,0.774125888832
2,20,310,15.5,0.611445952374
3,14,4140,295.714285714,0.498009989089
4,20,565,28.25,0.465606762199
5,18,825,45.8333333333,0.546193991727
6,21,1015,48.3333333333,0.592541020731
7,22,2840,129.090909091,0.50000338024
8,17,2940,172.941176471,0.510186837213
9,20,595,29.75,0.539780460503
10,18,2630,146.111111111,0.555558652151
11,21,745,35.4761904762,0.555547553622
12,17,2670,157.058823529,0.547087571966
13,16,3915,244.6875,0.491469590329
14,14,2905,207.5,0.484400190772
15,16,1140,71.25,0.518165125013
16,14,3170,226.428571429,0.59770690734
17,18,2355,130.833333333,0.545275281188
18,17,1795,105.588235294,0.605126567939
19,28,2250,80.3571428571,0.608108175797
20,14,3635,259.642857143,0.552905581691
