epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,206,41075,199.393203883,1.22165010575
2,218,56860,260.825688073,1.87398541624
3,203,52310,257.684729064,2.55088649845
4,240,11410,47.5416666667,3.13448213347
5,203,26360,129.852216749,3.24186010641
6,170,51010,300.058823529,3.43590834742
7,186,78150,420.161290323,3.85095864441
8,172,66230,385.058139535,4.28036308791
9,161,65605,407.48447205,4.72807611835
10,154,70555,458.149350649,4.96897278718
11,142,76615,539.542253521,5.16296766111
12,141,78340,555.602836879,5.46979528881
13,143,67040,468.811188811,6.03023287396
14,154,80000,519.480519481,6.18721473315
15,143,78150,546.503496503,6.31342879395
16,143,67780,473.986013986,6.34019407282
17,146,78505,537.705479452,6.60643306268
18,146,54785,375.239726027,6.44814059492
19,151,73680,487.947019868,6.5370763393
20,146,60670,415.547945205,6.55367827076
21,160,83870,524.1875,6.69552495423
22,147,80930,550.544217687,6.74368945073
23,158,85635,541.993670886,6.89967036447
24,141,75085,532.517730496,6.97326845078
25,141,84755,601.09929078,6.85042774302
26,158,65605,415.221518987,6.90667518958
27,152,80985,532.796052632,6.90017673305
28,165,26545,160.878787879,7.0477917275
29,145,83690,577.172413793,6.98972829075
30,146,69525,476.198630137,7.24673200947
31,156,88055,564.455128205,7.35970572322
32,146,52975,362.842465753,7.32112732626
33,152,58705,386.217105263,7.5113094988
34,165,73385,444.757575758,7.65396224873
35,196,48390,246.887755102,7.82516964584
36,151,83955,555.993377483,7.73671015935
37,164,63960,390.0,7.73668472474
38,154,90375,586.850649351,7.76060858032
39,146,73175,501.198630137,7.62868089491
40,156,72955,467.66025641,7.75176632028
41,135,65215,483.074074074,7.75819195993
42,154,72485,470.681818182,7.6697143756
43,146,77765,532.636986301,7.57874340681
44,155,81340,524.774193548,7.68328825796
45,247,21240,85.991902834,7.71151258262
46,162,80960,499.75308642,7.55422893329
