epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,15,3600,240.0,1.3623572946
2,18,2785,154.722222222,1.23359726387
3,20,3195,159.75,1.33367897179
4,12,3635,302.916666667,1.26268671635
5,17,2750,161.764705882,1.2360019031
6,18,2860,158.888888889,1.47225675127
7,17,2735,160.882352941,1.40553648106
8,16,3415,213.4375,1.43845395959
9,16,3755,234.6875,1.46839977048
10,16,2925,182.8125,1.50581604123
11,16,3720,232.5,1.39063916249
12,18,2405,133.611111111,1.41051789314
13,16,3460,216.25,1.28753796225
14,14,3170,226.428571429,1.36427486696
15,15,3285,219.0,1.27018106659
16,20,3635,181.75,1.23918180891
17,20,3660,183.0,1.23339357184
18,17,3285,193.235294118,1.21958128387
19,16,3195,199.6875,1.18083741961
20,15,3445,229.666666667,1.30194835341
21,15,4845,323.0,1.36578675436
22,13,4245,326.538461538,1.26218564763
23,17,4750,279.411764706,1.33269185166
24,16,4375,273.4375,1.29375721307
25,17,4325,254.411764706,1.19986477979
26,14,4710,336.428571429,1.35569986549
27,15,4235,282.333333333,1.34616324839
28,16,4035,252.1875,1.29992214864
29,14,4600,328.571428571,1.30700603062
30,15,5140,342.666666667,1.31186601999
31,16,4185,261.5625,1.27055374584
32,14,4930,352.142857143,1.38720718132
33,16,4030,251.875,1.35217018119
34,16,4225,264.0625,1.2988284805
35,15,3750,250.0,1.26754217058
36,17,3780,222.352941176,1.23457767739
37,15,3940,262.666666667,1.28671366869
38,20,3835,191.75,1.31950304346
39,16,4200,262.5,1.32785581755
40,25,3885,155.4,1.2640061398
41,18,3145,174.722222222,1.21489236801
42,16,3850,240.625,1.28537795574
43,15,4225,281.666666667,1.32560341071
44,19,3865,203.421052632,1.32731851345
45,16,4765,297.8125,1.28071955471
46,17,4790,281.764705882,1.25190378708
47,16,4530,283.125,1.30400077451
48,13,4795,368.846153846,1.27122795846
49,14,4300,307.142857143,1.33097783194
50,17,4115,242.058823529,1.32767083362
51,18,4065,225.833333333,1.3281037281
52,16,4480,280.0,1.28833305019
53,16,4300,268.75,1.31132584902
54,17,5560,327.058823529,1.30988231489
55,17,4495,264.411764706,1.36598417449
56,14,4625,330.357142857,1.29847764863
57,16,5670,354.375,1.46128765333
58,14,3945,281.785714286,1.39776502349
59,17,4465,262.647058824,1.35365406621
60,15,4000,266.666666667,1.34827978614
61,18,3980,221.111111111,1.35805193303
62,16,4690,293.125,1.36966146023
63,18,4840,268.888888889,1.30580801628
64,15,5235,349.0,1.38558685364
65,15,4490,299.333333333,1.36428316612
66,15,5285,352.333333333,1.40024190738
67,18,6040,335.555555556,1.42156885369
68,14,5250,375.0,1.51199098105
69,15,3955,263.666666667,1.42844981154
70,15,4615,307.666666667,1.43858265612
71,14,5480,391.428571429,1.41083532
72,17,4880,287.058823529,1.41924363483
73,14,5540,395.714285714,1.3604294881
74,15,4270,284.666666667,1.22683871191
75,16,5650,353.125,1.27271624741
76,17,4670,274.705882353,1.37068517523
77,15,5255,350.333333333,1.31984208561
78,16,4555,284.6875,1.43314196276
79,19,4230,222.631578947,1.37572694518
80,15,5760,384.0,1.34099057784
81,15,5125,341.666666667,1.35065960189
82,16,4740,296.25,1.35895665782
83,15,4400,293.333333333,1.37551241713
84,15,4135,275.666666667,1.34214467997
85,16,4590,286.875,1.37925328529
86,14,5310,379.285714286,1.39496473553
87,20,4485,224.25,1.42463624211
88,16,4970,310.625,1.35370020455
89,14,4625,330.357142857,1.3767174565
90,19,4530,238.421052632,1.30554199396
91,15,4690,312.666666667,1.42792869624
92,16,5685,355.3125,1.44371113427
93,13,4605,354.230769231,1.42235742206
94,15,4905,327.0,1.38642101008
95,16,6070,379.375,1.34710211847
96,17,5155,303.235294118,1.34662091743
97,15,5290,352.666666667,1.34259076966
98,16,4985,311.5625,1.41029763795
99,22,4825,219.318181818,1.37925772868
100,17,5325,313.235294118,1.30899903636
