epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,17,1285,75.5882352941,0.514509495987
2,14,3540,252.857142857,0.637362137896
3,20,3620,181.0,0.881990849419
4,16,4255,265.9375,0.965292393928
5,15,5215,347.666666667,1.01812417224
6,17,3175,186.764705882,1.21859731422
7,17,5550,326.470588235,1.3553917847
8,17,4300,252.941176471,1.28971675552
9,18,4005,222.5,1.26207566856
10,17,4835,284.411764706,1.32648280238
11,17,3870,227.647058824,1.24022743321
12,16,4525,282.8125,1.25927981475
13,15,4350,290.0,1.24081175173
14,15,5475,365.0,1.31295942794
15,17,4460,262.352941176,1.30189168519
16,16,5220,326.25,1.29761187552
17,16,4335,270.9375,1.27368544398
18,16,4535,283.4375,1.42903698192
19,17,4620,271.764705882,1.34216028959
20,17,5640,331.764705882,1.32395303081
21,14,5090,363.571428571,1.26757927627
22,16,3500,218.75,1.25342406944
23,15,4875,325.0,1.3247437345
24,16,4520,282.5,1.31301362995
25,17,5095,299.705882353,1.36052707955
26,17,5460,321.176470588,1.36299388182
27,16,5430,339.375,1.36296034748
28,16,5130,320.625,1.25416723173
29,17,4755,279.705882353,1.28400430153
30,18,5625,312.5,1.3179227461
31,15,4665,311.0,1.26318377513
32,16,5600,350.0,1.2603975067
33,16,5870,366.875,1.30263855904
34,17,4700,276.470588235,1.33777557524
35,17,4650,273.529411765,1.37369897726
36,17,4785,281.470588235,1.39562012638
37,15,4960,330.666666667,1.3625387692
38,16,5780,361.25,1.45994714403
39,16,3790,236.875,1.40337864318
40,15,4880,325.333333333,1.30493680734
41,18,5105,283.611111111,1.35422963125
42,17,5920,348.235294118,1.33470334011
43,15,4770,318.0,1.31718302595
44,15,4955,330.333333333,1.32989284191
45,13,5130,394.615384615,1.23926324206
46,16,4930,308.125,1.28242608634
47,15,5255,350.333333333,1.31790181502
48,14,5195,371.071428571,1.30196330924
49,16,5820,363.75,1.30598706627
50,16,5385,336.5625,1.27713989135
51,13,4195,322.692307692,1.26941087924
52,14,5005,357.5,1.21130742253
53,14,5005,357.5,1.14998307837
54,15,5145,343.0,1.25730415865
55,16,4475,279.6875,1.32318692469
56,15,4625,308.333333333,1.2819520599
57,14,4760,340.0,1.28228750019
58,15,5860,390.666666667,1.23729545371
59,18,4785,265.833333333,1.20382377386
60,14,5470,390.714285714,1.20654060041
61,15,5560,370.666666667,1.21585598381
62,12,4895,407.916666667,1.21969180913
63,16,4855,303.4375,1.22612393466
64,17,5875,345.588235294,1.23839558163
65,15,5050,336.666666667,1.19060483228
66,14,4940,352.857142857,1.2241350067
67,14,4225,301.785714286,1.23859284534
68,14,5470,390.714285714,1.34199200141
69,14,4930,352.142857143,1.30596494741
70,17,5205,306.176470588,1.31716216044
71,16,5540,346.25,1.18660619142
72,15,5145,343.0,1.22084933302
73,15,4940,329.333333333,1.24628270726
74,17,5265,309.705882353,1.13494386513
75,16,5230,326.875,1.22999851037
76,16,5125,320.3125,1.17664518858
77,15,3770,251.333333333,1.20285250742
78,19,4460,234.736842105,1.18880618213
79,14,5490,392.142857143,1.20536550326
80,16,5425,339.0625,1.16658979921
81,18,4895,271.944444444,1.2396580111
82,18,5120,284.444444444,1.19291271961
83,15,5375,358.333333333,1.30273468414
84,16,4720,295.0,1.26344312396
85,17,5615,330.294117647,1.24691246489
86,17,4440,261.176470588,1.2210361552
87,15,5740,382.666666667,1.18373517768
88,21,5355,255.0,1.17861897699
89,15,5425,361.666666667,1.20460672377
90,16,4405,275.3125,1.25512946654
91,17,5285,310.882352941,1.26673777435
92,16,5870,366.875,1.30120385084
93,16,5435,339.6875,1.29754151576
94,15,5200,346.666666667,1.24226141187
95,15,4435,295.666666667,1.22901430563
96,17,5145,302.647058824,1.22853954216
97,17,4320,254.117647059,1.19136188009
98,15,4275,285.0,1.20881804755
99,16,6010,375.625,1.19731953
100,15,4990,332.666666667,1.19899472644
