epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,17,2555,150.294117647,0.647751369525
2,17,3690,217.058823529,1.63190159252
3,16,3375,210.9375,1.89261344637
4,17,3510,206.470588235,1.92511536515
5,20,2815,140.75,1.76941175349
6,17,3380,198.823529412,1.64774557741
7,21,3770,179.523809524,1.47796184077
8,18,3255,180.833333333,1.45213564621
9,16,3380,211.25,1.40020848299
10,14,4475,319.642857143,1.35306785059
11,16,3905,244.0625,1.33818071215
12,17,4730,278.235294118,1.37106472138
13,18,4905,272.5,1.37303071789
14,18,4665,259.166666667,1.4146285177
15,17,5375,316.176470588,1.38362945769
16,13,5245,403.461538462,1.42083862265
17,20,3435,171.75,1.4263901855
18,15,2735,182.333333333,1.42013189466
19,18,3955,219.722222222,1.43835541209
20,18,4210,233.888888889,1.43643195139
21,16,4135,258.4375,1.47775204443
22,15,3750,250.0,1.49219295722
23,16,4360,272.5,1.48443459748
24,14,4270,305.0,1.42674410917
25,21,2490,118.571428571,1.44171562455
26,16,2905,181.5625,1.48982287118
27,16,2980,186.25,1.47975522378
28,15,2875,191.666666667,1.52400910966
29,14,3925,280.357142857,1.53311427083
30,14,2920,208.571428571,1.43957785876
31,13,3570,274.615384615,1.48456537426
32,16,4240,265.0,1.50427510556
33,16,4240,265.0,1.53142848277
34,17,4010,235.882352941,1.45138631511
35,21,3730,177.619047619,1.39485954895
36,16,3955,247.1875,1.42452439214
37,16,3460,216.25,1.41476651434
38,20,3220,161.0,1.41110486299
39,15,3060,204.0,1.40261687542
40,18,3260,181.111111111,1.3914541954
41,15,3280,218.666666667,1.38702300824
42,18,3455,191.944444444,1.37626200844
43,18,3225,179.166666667,1.3594775243
44,14,3710,265.0,1.32311731942
45,17,3270,192.352941176,1.30206289528
46,19,3375,177.631578947,1.31114854202
47,14,3005,214.642857143,1.25482372642
48,17,2955,173.823529412,1.27025569261
49,14,4040,288.571428571,1.27342280255
50,14,3080,220.0,1.36460107069
51,17,3325,195.588235294,1.34041314689
52,14,4055,289.642857143,1.35627809619
53,14,3145,224.642857143,1.45014327502
54,15,3775,251.666666667,1.38045765474
55,18,2015,111.944444444,1.31235908269
56,25,3135,125.4,1.24335364564
57,16,2660,166.25,1.35495855947
58,16,4085,255.3125,1.31828293932
59,13,3990,306.923076923,1.25432581207
60,17,3570,210.0,1.27503688486
61,17,2470,145.294117647,1.27233267404
62,16,4015,250.9375,1.34189822927
63,22,2725,123.863636364,1.32158631217
64,21,2800,133.333333333,1.35190353406
65,16,3310,206.875,1.26831330211
66,21,2270,108.095238095,1.43775077729
67,17,3100,182.352941176,1.45080548967
68,23,2350,102.173913043,1.35391164654
69,26,890,34.2307692308,1.53444859818
70,15,3170,211.333333333,1.39602874753
71,14,4000,285.714285714,1.40641450885
72,19,4180,220.0,1.44407234326
73,15,3135,209.0,1.23988910247
74,23,610,26.5217391304,1.25062488297
75,14,3470,247.857142857,1.41996402781
76,16,3340,208.75,1.36066226916
77,13,3475,267.307692308,1.33253692755
78,13,4645,357.307692308,1.36206857364
79,13,3255,250.384615385,1.40303500661
80,13,3795,291.923076923,1.19286340486
81,16,1010,63.125,1.2085893885
82,15,3590,239.333333333,1.20315132902
83,13,3180,244.615384615,1.39910857886
84,16,2910,181.875,1.13601919778
85,16,2865,179.0625,1.63877817321
86,12,2770,230.833333333,1.16079825878
87,15,4195,279.666666667,0.991175191151
88,13,4310,331.538461538,0.782510190061
89,15,790,52.6666666667,0.733053913901
90,16,2985,186.5625,0.748522352101
91,14,3290,235.0,0.642849509505
92,16,2880,180.0,0.669370291034
93,16,550,34.375,0.763700306708
94,16,2920,182.5,0.704522700155
95,14,3500,250.0,0.897212504911
96,22,565,25.6818181818,0.676029430694
97,12,3420,285.0,0.588612006641
98,14,3250,232.142857143,0.596169002168
99,15,3710,247.333333333,0.551264436602
100,13,3985,306.538461538,0.604869095106
