epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,239,17425,72.9079497908,1.27958105401
2,218,35300,161.926605505,1.95553352815
3,195,46655,239.256410256,2.48690055899
4,211,49670,235.402843602,2.79264943816
5,241,36465,151.307053942,3.01297823569
6,168,62790,373.75,3.19019019103
7,135,52490,388.814814815,3.47813312107
8,175,68670,392.4,3.82591645375
9,170,30070,176.882352941,4.14945251229
10,142,59460,418.732394366,4.35369394084
11,153,60965,398.464052288,4.71445924894
12,174,69795,401.120689655,5.12848155648
13,167,82985,496.916167665,5.46907989248
14,157,57160,364.076433121,5.87973801681
15,149,76815,515.536912752,6.09494540536
16,160,81975,512.34375,6.33728347651
17,158,69995,443.006329114,6.29014236971
18,155,24830,160.193548387,6.50038748423
19,155,80855,521.64516129,6.70381391515
20,146,36980,253.287671233,6.87472831367
21,154,84900,551.298701299,7.05218244406
22,140,83745,598.178571429,7.13138070151
23,154,72945,473.668831169,7.21293074796
24,156,73780,472.948717949,7.12996229611
25,145,68535,472.655172414,6.9771692103
26,135,55205,408.925925926,7.25985142147
27,154,75235,488.538961039,7.22916616932
28,143,81030,566.643356643,7.30365071706
29,138,76680,555.652173913,7.27598140601
30,146,52315,358.321917808,7.20439587019
31,144,82675,574.131944444,7.11387737952
32,152,80545,529.901315789,7.1777772629
33,154,84580,549.220779221,7.30481371587
34,136,86085,632.977941176,7.50089146996
35,142,72545,510.88028169,7.51505850048
36,145,80665,556.310344828,7.62091959297
37,147,77980,530.476190476,7.55681134541
38,161,57320,356.02484472,7.6477232758
39,145,64935,447.827586207,7.50324754971
40,147,75225,511.734693878,7.43460469619
41,146,89695,614.349315068,7.45984792406
42,182,45645,250.796703297,7.63258085892
43,166,85270,513.674698795,7.61607129529
44,158,81580,516.329113924,7.63327928438
45,147,76975,523.639455782,7.62258779638
46,142,76445,538.345070423,7.84521348971
47,143,82510,576.993006993,7.89815318366
48,144,87275,606.076388889,7.85724847021
