epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,17,2845,167.352941176,0.447434250935
2,27,645,23.8888888889,0.788495386706
3,14,4195,299.642857143,0.903398009975
4,23,3640,158.260869565,1.00868376386
5,18,3670,203.888888889,1.08901684604
6,21,2910,138.571428571,1.2561637315
7,17,3320,195.294117647,1.27670218065
8,17,3430,201.764705882,1.35342607627
9,14,2450,175.0,1.26611418597
10,15,3050,203.333333333,1.26742802949
11,15,4305,287.0,1.32440515157
12,14,5525,394.642857143,1.3687750242
13,15,5510,367.333333333,1.38076535072
14,14,4355,311.071428571,1.32042816181
15,14,5150,367.857142857,1.35942283251
16,14,4975,355.357142857,1.31154760065
17,14,5105,364.642857143,1.4113362245
18,16,4220,263.75,1.36374992306
19,14,5010,357.857142857,1.38733702137
20,14,4425,316.071428571,1.40265952294
21,15,5940,396.0,1.36456662368
22,12,5465,455.416666667,1.31460870996
23,13,5805,446.538461538,1.38384739581
24,15,5120,341.333333333,1.30781883297
25,15,5540,369.333333333,1.32310587954
26,13,5505,423.461538462,1.3709968353
27,15,5245,349.666666667,1.43119744778
28,13,5570,428.461538462,1.36923371415
29,15,6335,422.333333333,1.41157326577
30,15,5445,363.0,1.39991684138
31,15,6005,400.333333333,1.43345048207
32,14,6185,441.785714286,1.50335092011
33,14,6035,431.071428571,1.4850799323
34,15,5430,362.0,1.48617195519
35,15,5990,399.333333333,1.47514411781
36,14,6580,470.0,1.43570783273
37,14,5035,359.642857143,1.39409440169
38,17,6190,364.117647059,1.39371009958
39,14,5895,421.071428571,1.40096283749
40,14,5185,370.357142857,1.3798682427
41,16,6015,375.9375,1.33551741111
42,16,5140,321.25,1.37962511857
43,14,6435,459.642857143,1.459814073
44,14,5970,426.428571429,1.37110279255
45,13,6565,505.0,1.39211061728
46,15,4275,285.0,1.37617456645
47,12,5910,492.5,1.27757973833
48,14,5975,426.785714286,1.30072412136
49,13,4140,318.461538462,1.26175023895
50,17,6130,360.588235294,1.26980637863
51,14,6095,435.357142857,1.20741538496
52,14,5835,416.785714286,1.22968441431
53,16,6065,379.0625,1.18100721225
54,15,5455,363.666666667,1.1908594407
55,15,6215,414.333333333,1.16203675444
56,15,5520,368.0,1.19964158515
57,12,6005,500.416666667,1.20722066626
58,15,6585,439.0,1.14840786984
59,15,5670,378.0,1.20742033047
60,17,5880,345.882352941,1.1698851668
61,17,5670,333.529411765,1.16739150887
62,15,6055,403.666666667,1.19825428777
63,13,5820,447.692307692,1.14905785878
64,15,6385,425.666666667,1.1695098952
65,15,5105,340.333333333,1.09111325312
66,11,5920,538.181818182,1.128924244
67,15,5780,385.333333333,1.11073427721
68,16,5795,362.1875,1.07887627207
69,12,6055,504.583333333,1.08823311598
70,13,4925,378.846153846,1.15515275728
71,16,4425,276.5625,1.12448398431
72,14,5825,416.071428571,1.10979844419
73,13,6135,471.923076923,1.07694029867
74,15,5500,366.666666667,1.11940814993
75,15,5165,344.333333333,1.14872182478
76,13,6320,486.153846154,1.10820066794
77,13,5240,403.076923077,1.13109838281
78,12,5765,480.416666667,1.12330712689
79,15,5455,363.666666667,1.08091624491
80,13,5570,428.461538462,1.09657727915
81,16,5750,359.375,1.11895108299
82,14,5980,427.142857143,1.09193905984
83,13,5215,401.153846154,1.06765654095
84,15,5100,340.0,1.14161605438
85,13,6095,468.846153846,1.06716049363
86,14,6655,475.357142857,1.02660640637
87,14,5885,420.357142857,1.0690944714
88,14,5650,403.571428571,1.17335923269
89,15,4925,328.333333333,1.12630611691
90,15,5365,357.666666667,1.09225180349
91,15,6340,422.666666667,1.07930754121
92,15,5985,399.0,1.04536041644
93,13,6450,496.153846154,1.08500683949
94,14,5180,370.0,1.10613627727
95,15,6900,460.0,1.11240098317
96,13,5690,437.692307692,1.13581883967
97,13,7115,547.307692308,1.15722000169
98,15,6365,424.333333333,1.09160137279
99,14,5765,411.785714286,1.17114253739
100,16,5620,351.25,1.1125716594
