epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,18,860,47.7777777778,0.47490351901
2,14,3110,222.142857143,0.600048796467
3,15,1650,110.0,0.554918838201
4,19,4840,254.736842105,0.585285575579
5,14,1580,112.857142857,0.526665519468
6,22,1070,48.6363636364,0.525786370666
7,12,3175,264.583333333,0.578467305678
8,15,1075,71.6666666667,0.707565013621
9,19,1430,75.2631578947,0.583980791691
10,17,2475,145.588235294,0.646966755513
11,18,800,44.4444444444,0.743825243341
12,21,555,26.4285714286,0.742196247977
13,17,1375,80.8823529412,0.669786184056
14,17,4450,261.764705882,0.650599495151
15,14,4955,353.928571429,0.65907766395
16,14,4465,318.928571429,0.650159420866
17,16,4835,302.1875,0.715833484991
18,20,4430,221.5,0.665092921976
19,16,2700,168.75,0.664608253033
20,17,4800,282.352941176,0.672247217276
21,16,4245,265.3125,0.772460669059
22,17,4015,236.176470588,0.742009333305
23,16,4690,293.125,0.75704657142
24,17,5335,313.823529412,0.798620881241
25,15,3900,260.0,0.769604921616
26,15,5935,395.666666667,0.80691951501
27,18,4985,276.944444444,0.763017036607
28,14,2135,152.5,0.786175272206
29,15,4480,298.666666667,0.768252081612
30,17,5130,301.764705882,0.942208413571
31,16,5525,345.3125,0.825258983832
32,15,5525,368.333333333,0.816077685446
33,17,4600,270.588235294,0.854873394441
34,12,5420,451.666666667,0.858812740778
35,15,5060,337.333333333,0.876206793458
36,15,4230,282.0,0.815846076505
37,15,6195,413.0,0.857072235615
38,14,5665,404.642857143,0.874386147095
39,14,6510,465.0,0.867700742807
40,16,4425,276.5625,0.816262379972
41,15,5880,392.0,0.850363871657
42,13,5185,398.846153846,0.908330446964
43,17,6245,367.352941176,0.928634026964
44,15,6475,431.666666667,0.867439870831
45,14,5680,405.714285714,0.950671003849
46,13,5755,442.692307692,0.932598162175
47,16,6640,415.0,0.985063994152
48,13,6520,501.538461538,0.96678061494
49,13,6230,479.230769231,1.03695732678
50,14,5040,360.0,0.980566414295
51,12,6465,538.75,1.00528556924
52,15,5570,371.333333333,0.947959795388
53,12,6860,571.666666667,0.970405397743
54,12,5945,495.416666667,0.88567040987
55,14,6855,489.642857143,0.915286354623
56,12,5905,492.083333333,0.974442679658
57,13,6120,470.769230769,0.896786322188
58,17,5165,303.823529412,0.94118141617
59,13,6715,516.538461538,0.950566103393
60,13,6405,492.692307692,0.858793437744
61,13,6510,500.769230769,0.928461907415
62,13,7035,541.153846154,1.01551318464
63,12,6020,501.666666667,0.981705915125
64,14,4970,355.0,0.97344809278
65,12,5970,497.5,0.906438687413
66,13,6720,516.923076923,0.914236564888
67,13,5870,451.538461538,1.03094836195
68,15,6395,426.333333333,1.06019959159
69,14,5930,423.571428571,1.03035677002
70,13,6955,535.0,0.950172713835
71,13,7190,553.076923077,1.02636757948
72,16,5875,367.1875,1.01451455134
73,13,7135,548.846153846,1.01419163025
74,13,6535,502.692307692,0.997670945995
75,14,7185,513.214285714,0.974394145138
76,11,5320,483.636363636,0.947869456159
77,12,6415,534.583333333,1.0289670236
78,12,7015,584.583333333,1.05541483327
79,15,6200,413.333333333,0.987091410867
80,13,5830,448.461538462,0.921534175278
81,12,6170,514.166666667,0.890022154625
82,13,6625,509.615384615,0.973785768055
83,13,7145,549.615384615,1.02563341386
84,15,6520,434.666666667,0.975330948472
85,15,5430,362.0,0.974677747807
86,15,5825,388.333333333,1.02044029749
87,14,6475,462.5,0.931723829783
88,14,4535,323.928571429,0.931414462372
89,12,5790,482.5,0.889544823424
90,13,6465,497.307692308,0.918601377169
91,13,5755,442.692307692,0.944232755994
92,12,5660,471.666666667,0.922245851838
93,15,4980,332.0,0.89478824619
94,13,6620,509.230769231,0.842608201283
95,13,6520,501.538461538,0.878251762734
96,15,6070,404.666666667,0.94168963716
97,12,6035,502.916666667,0.917981744415
98,12,6350,529.166666667,0.902072507353
99,14,6410,457.857142857,0.925932076841
100,14,6400,457.142857143,0.952657056379
