epoch,num_episodes,total_reward,reward_per_episode,mean_q
1,22,2660,120.909090909,0.487136325591
2,11,3805,345.909090909,0.615647161039
3,19,1715,90.2631578947,0.839081519893
4,12,3620,301.666666667,0.999936883589
5,14,4885,348.928571429,1.00598444456
6,16,3925,245.3125,1.19457667066
7,18,4155,230.833333333,1.23808346553
8,16,5355,334.6875,1.26867424339
9,15,4025,268.333333333,1.35538789811
10,15,4500,300.0,1.29446353488
11,15,3190,212.666666667,1.32440376583
12,19,3780,198.947368421,1.33847411735
13,15,3540,236.0,1.35908717371
14,15,4235,282.333333333,1.37488416504
15,15,3630,242.0,1.32942381262
16,12,5010,417.5,1.32114026253
17,12,4500,375.0,1.29491652755
18,17,3370,198.235294118,1.33326034263
19,14,5700,407.142857143,1.3450886204
20,15,5320,354.666666667,1.37387229113
21,14,5435,388.214285714,1.34377345603
22,14,4395,313.928571429,1.25493750993
23,14,4905,350.357142857,1.30278033515
24,13,5625,432.692307692,1.27796071555
25,14,4815,343.928571429,1.282022495
26,15,5485,365.666666667,1.26813720901
27,15,4385,292.333333333,1.32983906935
28,15,4920,328.0,1.3556536166
29,16,5600,350.0,1.30314957981
30,12,4930,410.833333333,1.31431813324
31,16,4180,261.25,1.23634125335
32,15,5365,357.666666667,1.28565015623
33,13,5860,450.769230769,1.27503331958
34,14,5330,380.714285714,1.24544354224
35,14,6005,428.928571429,1.25171404276
36,14,6415,458.214285714,1.30326993975
37,14,4715,336.785714286,1.27182163413
38,14,5830,416.428571429,1.25101408864
39,14,5540,395.714285714,1.22294943558
40,13,6145,472.692307692,1.24290299162
41,14,5255,375.357142857,1.20154185223
42,14,5085,363.214285714,1.23334797279
43,14,5565,397.5,1.23145017325
44,16,5110,319.375,1.20584688245
45,15,4580,305.333333333,1.21321116575
46,13,5165,397.307692308,1.23664996673
47,15,5815,387.666666667,1.21565562525
48,14,4840,345.714285714,1.25400102668
49,14,4630,330.714285714,1.23932372433
50,15,5485,365.666666667,1.20967280485
51,20,3465,173.25,1.24764280843
52,16,4900,306.25,1.19724076521
53,15,5005,333.666666667,1.18892029826
54,18,4630,257.222222222,1.20529700671
55,18,4525,251.388888889,1.21320361226
56,16,4425,276.5625,1.22578656981
57,16,4900,306.25,1.11610398509
58,14,4645,331.785714286,1.12982057094
59,17,4095,240.882352941,1.13005456705
60,17,5100,300.0,1.2184166651
61,16,5355,334.6875,1.22665468547
62,16,4605,287.8125,1.22017917713
63,17,4245,249.705882353,1.21906685697
64,16,5390,336.875,1.2518609144
65,16,3855,240.9375,1.24181499984
66,16,4720,295.0,1.24982080632
67,16,4120,257.5,1.15559954905
68,16,6390,399.375,1.21230543067
69,15,5270,351.333333333,1.19157198048
70,14,5510,393.571428571,1.14163854954
71,16,4490,280.625,1.22646018268
72,18,4095,227.5,1.13624232519
73,14,5400,385.714285714,1.14729480753
74,13,5370,413.076923077,1.20331499327
75,16,5145,321.5625,1.1696895895
76,16,4690,293.125,1.18386459128
77,16,5330,333.125,1.19133112606
78,16,4985,311.5625,1.22295347895
79,15,4555,303.666666667,1.25789981765
80,15,6005,400.333333333,1.24905929623
81,14,5575,398.214285714,1.29077453037
82,15,4875,325.0,1.25829577745
83,15,4520,301.333333333,1.28438353168
84,19,6005,316.052631579,1.22603513109
85,19,5410,284.736842105,1.26386532062
86,20,5405,270.25,1.26088951788
87,21,4075,194.047619048,1.26293697135
88,16,5035,314.6875,1.25269413734
89,18,5260,292.222222222,1.19330467843
90,16,3495,218.4375,1.24998290075
91,16,5790,361.875,1.27123950501
92,17,5360,315.294117647,1.22581083318
93,16,5400,337.5,1.26449660101
94,16,5280,330.0,1.19058585896
95,15,5515,367.666666667,1.13754225633
96,16,5390,336.875,1.24471685862
97,15,5450,363.333333333,1.23088383775
98,16,5290,330.625,1.20970289533
99,15,4925,328.333333333,1.219000909
100,18,4905,272.5,1.20750425756
